method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts
rolling_60s,W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Social_interaction,40.920000000000016,13,0.3176930596285434,19.061583577712604,2.6545038292750465,2.7602615114566063,6
rolling_60s,W2__ID590_NE__3CT_FP3_3__3CT_W2_C3-Trial_____5,590,NE,Hab,W2,Entire_trial,299.8399040000004,35,0.11672895946498153,7.003737567898892,2.3498544213922146,2.2602097925711515,5
rolling_60s,W2__ID590_NE__3CT_FP3_3__3CT_W2_C3-Trial_____5,590,NE,Hab,W2,Social_interaction,27.359999999999985,4,0.1461988304093568,8.771929824561408,2.23514797380597,2.3188209304151846,5
rolling_60s,W2__ID590_NE__3CT_FP4_3__3CT_W2_C3-Trial_____6,590,NE,Social,W2,Entire_trial,299.83999999999924,45,0.15008004268943476,9.004802561366086,2.106761373324491,1.7041613395312991,6
rolling_60s,W2__ID590_NE__3CT_FP4_3__3CT_W2_C3-Trial_____6,590,NE,Social,W2,Social_interaction,56.80000000000001,14,0.24647887323943657,14.788732394366194,2.726081857801088,2.8029990361637376,6
rolling_60s,W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Entire_trial,299.87993600000027,39,0.13005204856386246,7.803122913831747,2.4981783288268065,2.29616980130682,8
rolling_60s,W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Social_interaction,32.319999999999965,8,0.2475247524752478,14.851485148514868,2.7381176371586804,2.5855418657851468,8
rolling_60s,W2__ID566_NE__3CT_FP6_3__3CT_W2_C3-Trial_____8,566,NE,Hab,W2,Entire_trial,299.84003200000006,52,0.1734258085991666,10.405548515949995,2.4671424985038874,2.4021782182160383,6
rolling_60s,W2__ID566_NE__3CT_FP6_3__3CT_W2_C3-Trial_____8,566,NE,Hab,W2,Social_interaction,13.67999999999996,3,0.21929824561403571,13.157894736842144,2.76056914734698,2.440407360643575,6
rolling_60s,W2__ID566_NE__3CT_FP7_3__3CT_W2_C3-Trial_____9,566,NE,Social,W2,Entire_trial,299.8402239999996,46,0.15341504013817728,9.204902408290637,2.2773204536741716,2.040900018458034,7
rolling_60s,W2__ID566_NE__3CT_FP7_3__3CT_W2_C3-Trial_____9,566,NE,Social,W2,Social_interaction,87.96000000000001,15,0.1705320600272851,10.231923601637106,2.2738886421333766,2.197754933876769,7
rolling_60s,W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Entire_trial,299.84019199999966,48,0.1600852763594817,9.605116581568902,2.7665153379039094,2.6215189898277345,6
rolling_60s,W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Social_interaction,26.25999999999999,3,0.11424219345011428,6.854531607006857,2.6457200340943845,2.5782820943193197,6
rolling_60s,W2__ID580_NE__3CT_FP9_3__3CT_W2_C3-Trial____11,580,NE,Hab,W2,Entire_trial,299.88035200000013,35,0.11671321500916468,7.00279290054988,2.623584667805419,2.418869986354631,8
rolling_60s,W2__ID580_NE__3CT_FP9_3__3CT_W2_C3-Trial____11,580,NE,Hab,W2,Social_interaction,22.73999999999992,9,0.39577836411609635,23.74670184696578,2.6975516045163643,2.418869986354631,8
rolling_60s,W2__ID580_NE__3CT_FP10_3__3CT_W2_C3-Trial____12,580,NE,Social,W2,Entire_trial,299.84035199999926,44,0.14674475835727444,8.804685501436467,2.72676266325619,2.5845692760220276,10
rolling_60s,W2__ID580_NE__3CT_FP10_3__3CT_W2_C3-Trial____12,580,NE,Social,W2,Social_interaction,59.82000000000005,12,0.20060180541624859,12.036108324974915,2.948437680943726,2.7020104961823317,10
rolling_60s,W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Entire_trial,299.8403520000011,38,0.12673410949037262,7.604046569422357,2.850062485091687,2.58735174184106,9
rolling_60s,W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Social_interaction,29.960000000000058,2,0.06675567423230962,4.005340453938577,2.7443971475509943,2.7443971475509943,9
rolling_60s,W2__ID533_NE__3CT_FP18_3__3CT_W2_C3-Trial____20,533,NE,Hab,W2,Entire_trial,299.8402559999995,35,0.1167288224300344,7.003729345802064,2.8248537797660846,2.570891759009088,5
rolling_60s,W2__ID533_NE__3CT_FP18_3__3CT_W2_C3-Trial____20,533,NE,Hab,W2,Social_interaction,15.100000000000023,4,0.2649006622516552,15.894039735099312,3.3034179642514006,3.3230440268743493,5
rolling_60s,W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Entire_trial,299.84031999999934,31,0.10338836351295272,6.203301810777163,2.439569091644913,2.0897967259906345,8
rolling_60s,W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Social_interaction,76.04000000000002,13,0.17096265123619142,10.257759074171485,2.859843414931431,2.675490917032752,8
rolling_60s,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Entire_trial,299.88038400000005,44,0.14672516892602083,8.80351013556125,2.7634022885776477,2.5341785343927143,5
rolling_60s,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Social_interaction,27.36,10,0.3654970760233918,21.92982456140351,2.991975297621705,2.7882196750012085,5
rolling_60s,W2__ID541_NE__3CT_FP21_3__3CT_W2_C3-Trial____23,541,NE,Hab,W2,Entire_trial,299.8401279999998,58,0.19343641688946997,11.606185013368199,2.3811798220607545,2.206051158459702,6
rolling_60s,W2__ID541_NE__3CT_FP21_3__3CT_W2_C3-Trial____23,541,NE,Hab,W2,Social_interaction,12.060000000000029,4,0.3316749585406294,19.900497512437763,2.459797398708425,2.6145366984687657,6
rolling_60s,W2__ID541_NE__3CT_FP22_3__3CT_W2_C3-Trial____24,541,NE,Social,W2,Entire_trial,299.8799680000011,56,0.18674138313900246,11.204482988340148,2.600609012943321,2.3958387363080904,11
rolling_60s,W2__ID541_NE__3CT_FP22_3__3CT_W2_C3-Trial____24,541,NE,Social,W2,Social_interaction,42.18000000000001,13,0.3082029397818871,18.492176386913226,3.042009202924842,2.7273113674933382,11
rolling_60s,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Entire_trial,299.8800319999973,47,0.15672934168554584,9.40376050113275,2.486285441640926,2.466717202044024,11
rolling_60s,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Social_interaction,59.439999999999955,8,0.13458950201884262,8.075370121130558,3.0037619005371425,3.0604033669442323,11
