method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,34,239.51968000000033,1.7035211108756523,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,35,241.63968000000023,1.6474100016993527,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,36,242.75968000000012,1.7148663005594018,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,37,244.1196799999998,1.5432570583191247,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,38,247.6796800000002,2.44921424766763,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,39,265.0796799999998,0.9754664447127532,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,40,278.39968000000044,1.4288118334386644,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,41,278.91967999999997,1.235427127462007,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,1,4.920000000000073,1.5280824415258076,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,2,6.640000000000327,2.252341504883969,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,3,10.920000000000073,1.5205225334217545,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,4,11.600000000000364,3.30671024918606,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,5,19.039968000000044,1.6145059444410204,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,6,37.39996799999972,2.6502307839699846,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,7,42.839968000000226,2.9847601965733412,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,8,43.95996800000012,1.5912142607848372,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,9,45.31996799999979,2.5243110218033067,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,10,50.43993599999976,3.395175588486491,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,11,72.0399040000002,1.4527348004644354,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,12,76.5999040000006,3.9589102956448006,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,13,105.39990399999988,2.803388944024275,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,14,109.95990400000028,2.9660297726505123,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,15,111.39990399999988,2.2537542450179044,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,16,113.1599040000001,1.8270170622619974,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,17,121.95990400000028,4.386750932485435,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,18,122.75990400000046,2.0482477897402602,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,19,125.7199040000005,1.922818710026252,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,20,128.55990399999973,3.063320067422471,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,21,159.19990400000006,2.3776774358612167,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,22,160.0399040000002,2.36748545930888,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,23,162.55990399999973,3.0963372692186186,True,1.0,0.08590399999974352,-14.319096000000258
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,24,163.19990400000006,3.3020572228499985,True,1.0,0.7259040000000709,-13.67909599999993
