syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
25,298.0629,328.4047,-0.3507,-0.2646,0.3615,-0.8615,0.5566,-0.362,-0.3166,-0.1937
25,300.1832,325.7616,-0.3519,-0.3589,0.3914,-0.822,0.5333,-0.3624,-0.1219,-0.2505
25,301.2778,326.3738,-0.3758,-0.4078,0.2772,-0.8836,0.4428,-0.2656,0.0114,-0.2044
25,303.1334,325.5222,-0.359,-0.3645,0.2255,-0.9614,0.3176,-0.0876,-0.1557,-0.0155
25,304.463,326.0278,-0.4288,-0.4681,0.1328,-0.8958,0.2536,-0.1933,-0.063,-0.0869
25,307.1314,325.9659,-0.4399,-0.3076,0.034,-0.9646,0.0494,-0.4047,-0.2207,0.1842
25,308.5885,326.1164,-0.4348,-0.6437,-0.1892,-0.8361,-0.0375,-0.3682,-0.2236,-0.0792
25,310.8205,324.4552,-0.4382,-0.5544,-0.0979,-0.9233,-0.1555,-0.2153,-0.2185,-0.0199
25,312.8211,323.4328,-0.4311,-0.6382,-0.0872,-1.0079,-0.2096,-0.2458,-0.0325,-0.1056
25,315.4004,321.3107,-0.4501,-0.5352,-0.177,-0.9975,-0.4332,-0.3244,-0.044,-0.1867
25,317.5526,318.9736,-0.5041,-0.5681,-0.2812,-1.1849,-0.4681,-0.2913,-0.176,-0.2586
25,319.0118,317.4652,-0.4501,-0.464,-0.1951,-1.2333,-0.3546,-0.3734,-0.1617,-0.1666
25,320.8649,315.2932,-0.4689,-0.6395,-0.1541,-1.1385,-0.3141,-0.3883,-0.0909,-0.1711
25,322.8898,311.9407,-0.4604,-0.7175,-0.2913,-1.2472,-0.4067,-0.4899,-0.1867,-0.2616
25,324.8523,308.819,-0.4578,-0.6719,-0.3058,-1.2112,-0.4229,-0.4668,-0.0998,-0.257
25,326.7833,304.9824,-0.4825,-0.6966,-0.2322,-1.1432,-0.4846,-0.561,-0.0833,-0.3439
25,328.0038,303.3914,-0.4919,-0.6011,-0.0704,-1.2101,-0.4539,-0.3366,0.1115,-0.3549
25,329.0345,299.665,-0.5455,-0.573,-0.2613,-1.2429,-0.5693,-0.5558,-0.0124,-0.4035
25,331.7847,294.9587,-0.5211,-0.7443,-0.1882,-1.3366,-0.428,-0.2221,0.2465,-0.571
25,335.8649,289.0667,-0.6111,-0.8106,-0.1365,-1.3733,-0.292,-0.3041,0.2476,-0.296
