syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
33,382.118,124.3506,0.9895,0.6567,-0.0678,0.3886,0.4131,-0.1281,-0.3177,0.812
33,380.9119,124.2193,1.1428,0.8735,-0.0385,-0.1832,0.5163,0.5259,0.3807,0.4456
33,382.2927,124.91,1.0642,0.7969,0.1759,0.3529,1.0075,0.1537,-0.4878,0.5673
33,382.9469,124.2655,0.9825,0.8055,0.4059,0.6387,0.8238,-0.4344,-0.8705,0.678
33,383.5412,123.7142,0.9575,0.9131,0.6671,0.4118,0.6959,-1.0182,-0.9326,0.4417
17,384.3647,123.9619,0.9591,0.8442,0.7263,0.4863,0.6777,-0.8368,-1.0388,0.3421
17,384.6959,123.6493,0.8691,1.0024,0.9072,0.6653,0.5283,-0.9856,-0.5883,0.4903
17,384.9357,124.1023,0.9185,0.8786,0.7449,0.658,0.3081,-0.9672,-0.5116,0.3388
17,384.5784,124.6055,0.9302,0.9836,0.782,0.556,0.4445,-0.7782,-0.2488,0.3078
17,384.3708,125.9645,0.9363,1.0516,0.6977,0.633,0.517,-0.7068,-0.2082,0.4261
17,384.5469,126.6052,0.9333,0.9779,0.5397,0.4695,0.3091,-0.8032,-0.5787,0.1822
17,384.2467,128.6417,0.9373,0.9647,0.5721,0.6386,0.2751,-0.7445,-0.5363,0.3613
17,385.8881,129.9708,0.9391,0.9084,0.5124,0.742,0.0293,-0.8938,-0.4135,0.3579
17,386.2781,131.5678,0.8947,0.9658,0.4874,0.5497,-0.0376,-0.8259,-0.3579,0.435
17,386.992,132.405,0.9193,1.0887,0.5171,0.8645,-0.0313,-0.8809,-0.2214,0.4879
17,387.6525,134.242,0.9711,0.9334,0.5576,0.4744,-0.166,-0.8179,-0.3856,0.2978
17,388.3786,134.0326,0.9691,0.931,0.5649,0.6769,0.0736,-0.8808,-0.1927,0.2989
17,388.1592,133.7426,0.9353,0.7411,0.6212,0.581,-0.0147,-0.7462,-0.1577,0.2324
17,387.6547,133.948,0.9203,0.8336,0.8357,0.5295,0.2134,-0.8708,-0.1273,0.5322
17,388.0992,133.6194,0.9377,1.0073,0.7143,0.6237,0.289,-0.6848,-0.1637,0.1678
17,387.6456,134.8458,0.9496,0.9669,0.7208,0.759,0.2901,-0.6243,0.1939,0.0858
17,388.0892,134.2879,0.8617,1.072,0.7901,0.6693,0.2942,-0.8678,-0.1181,0.1055
17,389.483,135.1569,0.8857,1.1168,0.7591,0.5799,0.1142,-0.6354,0.1352,0.0933
17,389.854,134.3027,0.9038,1.1202,1.0426,0.509,0.3139,-0.5908,0.3864,0.2249
17,390.2493,135.2391,0.8582,1.2001,0.8362,0.4623,0.2526,-0.5841,0.5106,0.2959
17,391.3844,134.4877,0.8865,1.0351,0.6751,0.4136,0.0756,-0.6125,0.6677,0.2729
17,393.4257,134.1749,0.9314,1.0764,0.6882,0.3027,0.0211,-0.5494,0.6733,0.1859
17,394.8132,133.6405,0.9086,0.9535,0.6287,0.3983,-0.2475,-0.5258,0.5261,0.3403
17,396.1892,133.7685,0.8665,1.1484,0.6851,0.4061,-0.2572,-0.3493,0.5552,0.4219
17,398.6315,133.4777,0.8558,1.0354,0.6298,0.6517,-0.2171,-0.1071,0.7599,0.1039
17,400.3812,133.4116,0.8487,0.9119,0.6042,0.4803,-0.2943,-0.001,0.6271,-0.0062
17,401.5478,133.2127,0.8321,1.0692,0.6524,0.3146,-0.2885,0.202,0.6514,-0.0972
17,401.6689,133.5985,0.8276,1.0798,0.6058,0.307,-0.1615,0.1621,1.0105,-0.2114
17,402.0189,133.2391,0.8327,1.142,0.4948,0.2013,-0.1746,0.3864,0.9048,0.0832
17,401.0627,133.1298,0.9029,1.1822,0.4776,0.1584,-0.3873,0.3071,1.093,0.0865
17,400.7628,132.9873,0.8211,1.1665,0.4232,0.2897,-0.2695,0.2855,1.1008,0.1585
17,399.4154,133.9421,0.797,1.3435,0.2334,0.1729,-0.4422,0.2242,1.0697,0.1485
17,400.6617,135.4885,0.9224,1.3509,0.4162,0.082,-0.1146,0.4498,1.0918,0.0521
17,400.6466,134.3189,1.0282,1.3849,0.1081,0.0095,0.0571,0.5957,0.9631,-0.1295
17,400.8159,134.9637,1.0028,1.2887,0.0053,-0.139,-0.0759,0.7415,0.9482,-0.2466
17,400.4475,135.1455,0.9622,1.158,0.0579,-0.4085,0.0601,0.6868,1.0038,-0.1855
17,400.1882,135.4363,1.0035,1.2988,-0.0113,-0.3816,-0.0564,0.7832,0.8182,-0.0621
17,398.5501,135.2858,0.9781,1.298,-0.0072,-0.4642,0.1471,0.8028,0.8619,-0.1357
17,397.9965,135.9344,1.0679,1.3301,0.0901,-0.3877,0.1034,0.8467,0.9567,-0.1733
17,397.7739,135.8408,1.0596,1.3308,-0.0954,-0.2159,0.1368,0.6584,0.8516,-0.1417
17,396.4838,135.4729,1.0364,1.3541,-0.2021,-0.3888,0.2822,0.9235,0.6646,-0.1993
17,397.5852,135.6205,1.0128,1.3966,-0.0778,-0.2613,0.304,0.8024,1.0188,0.0274
17,396.5623,135.815,1.0712,1.4719,-0.0858,-0.273,0.3409,1.0616,0.7003,0.0493
35,395.1472,135.2268,0.9451,1.3237,0.3319,-0.1149,0.685,1.1947,1.0875,-0.2154
35,394.9951,134.424,0.9682,1.4481,0.0493,-0.2351,0.3897,1.3301,0.8485,-0.1724
35,394.1681,134.2865,1.0447,1.706,0.2716,-0.1099,0.4967,1.3707,1.4784,-0.4559
35,394.3322,134.6746,1.1287,1.6761,-0.157,-0.2323,0.0338,1.158,1.4721,-0.1565
35,394.648,134.262,1.1893,1.6776,0.2591,-0.3738,-0.4112,0.5157,1.8806,-0.2392
35,395.6502,133.077,1.0671,1.6273,0.2069,0.0034,-0.1977,0.3278,1.5337,-0.0017
35,395.923,133.0848,0.968,1.4288,0.4683,0.2627,-0.1476,0.0999,1.3912,-0.1428
35,397.7181,133.396,0.8548,1.3748,0.5267,0.562,-0.0788,0.3044,1.2805,0.0592
35,399.0767,133.3802,0.8782,1.1709,0.5942,0.4856,0.2483,0.3726,1.0241,0.0226
35,399.5254,134.2558,0.7636,1.0473,0.4934,0.5892,-0.0637,0.0087,0.8691,0.1812
35,400.7866,135.1127,0.78,1.1934,0.5859,0.5734,0.2075,-0.3313,0.8831,0.4685
35,400.45,137.4164,0.8212,0.9088,0.7329,0.6126,0.2036,-0.6143,0.8117,0.3326
35,401.2201,137.9107,0.8751,0.8196,0.7848,0.6084,0.1141,-0.7497,0.325,0.2852
35,402.0195,139.4284,0.8899,0.7954,0.4694,0.5435,0.1599,-0.6348,0.0491,0.5301
35,402.8922,140.2759,0.8755,0.651,0.4361,0.3875,0.2408,-0.6263,0.3651,0.6185
35,403.8193,140.2161,0.8875,0.6926,0.5054,0.4795,-0.0944,-0.5596,0.3718,0.564
35,405.3209,140.2598,0.884,0.6741,0.6587,0.2672,0.0486,-0.2306,0.8199,0.2562
35,405.9088,140.0929,0.9185,0.6611,0.6153,0.1009,-0.342,-0.436,0.7042,0.3853
35,405.5413,140.5428,0.8302,0.473,0.736,0.2132,-0.3163,-0.5365,0.64,0.5022
35,406.0472,139.977,0.9049,0.6692,0.5542,-0.0395,-0.3604,-0.5129,1.0583,0.2682
35,406.1841,139.5257,0.8061,0.7987,0.3544,-0.1622,-0.0557,-0.4343,1.0866,0.4765
35,405.1141,137.9162,0.8529,0.843,0.4921,-0.1369,-0.0161,-0.195,0.6898,0.2958
35,406.5815,136.5521,0.8535,0.8851,0.2207,-0.0893,0.0106,-0.4543,0.8397,0.5086
35,407.3543,135.3956,0.8442,0.9256,0.2987,-0.2908,-0.2692,-0.1974,0.8972,0.3631
35,406.8921,134.365,0.8502,1.1195,0.2354,-0.3117,-0.309,-0.6627,1.071,0.4574
35,406.4496,133.5234,0.8762,0.9702,0.034,-0.3603,-0.3495,-0.2676,0.9098,0.1992
35,406.7525,134.3541,0.7646,1.0485,0.0345,-0.1569,-0.4169,-0.0201,0.6901,0.2547
35,405.6894,133.4019,0.7885,1.2332,-0.0799,-0.2714,0.1446,0.4092,0.7521,0.2293
35,404.6204,133.2325,0.9271,1.1271,-0.1707,-0.4631,0.1604,0.4965,1.0222,-0.101
35,403.9886,134.8817,0.9088,1.2195,-0.1524,-0.4632,0.163,0.1641,0.9763,0.2267
35,403.5056,136.7263,1.0238,0.9527,-0.0141,-0.3546,-0.0645,0.0976,0.9441,0.2409
35,403.1979,137.3954,0.8911,1.0544,0.1143,-0.3206,0.0047,0.0207,0.736,0.1683
35,401.1604,140.2344,1.0212,0.9208,0.1234,-0.1921,-0.0982,-0.3165,0.3304,0.4404
35,399.9962,141.3563,1.0745,0.9129,0.2396,0.058,-0.3853,-0.6408,0.3773,0.431
35,400.343,142.7749,1.0588,0.5314,0.1891,0.3203,-0.5234,-0.9001,0.2341,0.7132
35,399.9473,142.8534,1.1352,0.6248,0.0715,-0.0973,-0.535,-0.486,0.4472,0.7473
17,400.267,144.2765,1.0696,0.3833,0.179,0.0298,-0.3918,-0.7576,0.4363,0.6873
17,400.6947,145.8742,1.0832,0.4144,0.1354,-0.0577,-0.4293,-0.6162,0.4836,0.6442
17,401.2794,146.5685,1.1122,0.0959,0.0909,-0.2052,-0.4737,-0.3624,0.3268,0.3539
17,400.9405,148.2515,1.1122,0.2677,0.1028,-0.3519,-0.2973,-0.3665,0.4799,0.4914
17,400.8349,150.1171,1.1319,-0.0255,0.1112,-0.5797,-0.131,-0.1611,0.4752,0.4798
17,400.3186,151.4238,1.1181,-0.0421,0.2284,-0.2983,-0.0521,-0.0767,0.7478,0.6321
17,398.8846,153.665,1.1329,-0.1675,0.4023,-0.5042,-0.1781,-0.2626,0.739,0.5198
17,398.8219,155.5407,1.1582,-0.1769,0.483,-0.4502,0.126,-0.3754,0.5956,0.2489
17,398.8565,157.4219,1.1408,0.0577,0.512,-0.487,-0.0195,-0.3985,0.4497,0.4155
17,398.3371,158.6622,1.1742,-0.0656,0.5891,-0.2512,-0.0688,-0.6133,0.5397,0.3511
17,398.6024,160.7417,1.1674,-0.0475,0.3439,-0.4378,-0.1295,-0.457,0.2754,0.5289
17,397.2896,161.4625,1.24,-0.1695,0.4528,-0.323,-0.2867,-0.303,0.6516,0.4072
17,397.8393,161.413,1.2322,-0.2272,0.5494,-0.3823,-0.1652,-0.1248,0.5735,0.205
17,398.3486,162.15,1.2413,-0.2648,0.4958,-0.1274,-0.1886,0.0705,0.5562,0.3769
17,398.6417,162.4708,1.2273,-0.1659,0.394,-0.3089,0.0452,-0.0793,0.3497,0.2993
17,397.5563,164.2154,1.3094,-0.1319,0.48,-0.3795,-0.0836,-0.0147,0.6793,0.3625
17,398.4554,163.8828,1.2621,-0.0929,0.4728,-0.3155,-0.0883,-0.1918,0.3556,0.4342
17,398.3904,165.9501,1.2726,-0.1442,0.547,-0.1835,-0.164,-0.243,0.2664,0.1601
17,397.5814,167.5178,1.2816,-0.1742,0.6644,-0.282,-0.1229,-0.4457,0.1267,0.2283
17,397.0168,170.3372,1.289,-0.29,0.5614,-0.2161,0.1373,-0.1354,0.0361,0.0018
17,397.5731,172.8489,1.3022,-0.338,0.6696,-0.3403,0.2373,-0.3206,-0.1226,-0.0197
17,399.1465,173.1136,1.2163,-0.2795,0.7303,-0.0467,0.2079,-0.4595,0.0179,-0.027
17,399.5616,174.0992,1.216,-0.4313,0.6724,-0.036,0.2827,-0.6926,-0.3388,0.0799
17,400.7589,176.9301,1.22,-0.5722,0.7959,0.1838,0.3319,-0.7435,-0.3899,-0.0719
17,403.0805,179.8739,1.2095,-0.4938,0.7969,-0.0753,0.3128,-0.9209,-0.4497,0.1418
17,404.638,183.0104,1.216,-0.5206,0.7641,0.0492,0.4333,-0.6958,0.0271,0.1118
17,406.5362,184.151,1.2413,-0.4696,0.7012,0.0035,0.3307,-0.7559,-0.0206,0.0728
17,407.5239,184.0065,1.2329,-0.3333,0.6433,0.0624,0.0428,-0.7337,0.074,0.0991
17,409.6187,185.2238,1.2488,-0.3921,0.6695,0.131,0.178,-0.6638,-0.0546,0.0178
17,412.4497,186.7335,1.2725,-0.4597,0.5559,0.2382,-0.1261,-0.7133,0.225,0.3083
17,412.9113,188.1709,1.2215,-0.3696,0.6128,0.0986,-0.0868,-0.692,0.0447,-0.0596
17,414.0093,190.2252,1.1959,-0.3716,0.5051,0.0233,-0.2555,-0.8397,0.382,0.2374
17,413.348,193.0583,1.2061,-0.3044,0.5029,-0.2971,-0.125,-0.8274,0.3153,0.2246
17,413.1293,196.6214,1.1995,-0.2706,0.3801,-0.4175,-0.2453,-0.6365,-0.0766,0.4753
17,412.1758,198.7966,1.1849,-0.2897,0.226,-0.4619,-0.0875,-0.6301,0.2231,0.2857
17,410.6966,202.0423,1.1851,-0.1652,0.2512,-0.5622,0.0147,-0.6647,-0.0022,0.3442
17,409.7394,203.8209,1.1698,-0.0382,0.2576,-0.6287,-0.0024,-0.691,0.0008,0.5
