mouse_id,genotype,condition,week,behavior,pre_mean_dFF,post_mean_dFF,n_events
376,NE,Social,Preinduction,Novel_interaction,-0.9201431289278018,-0.7652121762738607,3
376,NE,Social,Preinduction,Social_interaction,-0.062183504964333836,1.4235088678357355,10
372,NE,Social,Preinduction,Novel_interaction,0.042283187194468844,1.0823423676909247,5
372,NE,Social,Preinduction,Social_interaction,-1.1982698336177908,0.7628541244023154,3
374,NE,Social,Preinduction,Novel_interaction,-0.7397993280875039,0.06137108024910842,2
374,NE,Social,Preinduction,Social_interaction,-0.4512965397442785,0.929472526138353,9
429,NE,Social,Preinduction,Novel_interaction,-0.3594234532545872,0.3018660760635576,5
429,NE,Social,Preinduction,Social_interaction,-0.2953263097950382,0.6153363688917506,9
423,NE,Social,Preinduction,Novel_interaction,-0.2927132382436524,0.3980045743305012,3
423,NE,Social,Preinduction,Social_interaction,-0.4184885472695411,0.8932106996160708,13
463,NE,Social,Preinduction,Novel_interaction,0.2329582121017352,4.266735406199159,5
463,NE,Social,Preinduction,Social_interaction,0.9086022991243305,4.669333645543903,4
459,NE,Social,Preinduction,Novel_interaction,0.39898765816114995,1.4139303712000397,5
459,NE,Social,Preinduction,Social_interaction,0.24577984314770054,0.9974959254684627,7
398,NE,Social,Preinduction,Social_interaction,0.21536380992563814,1.3207849410441053,5
400,NE,Social,Preinduction,Novel_interaction,1.2724786788800593,1.3317654793140987,4
400,NE,Social,Preinduction,Social_interaction,-0.2758635935194012,0.21851824717988289,8
