syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
17,520.5247,711.0969,-3.0377,1.1455,-0.1885,0.0397,-0.6081,-0.9536,0.2661,0.7727
17,520.2577,709.9131,-3.0774,1.1499,-0.2201,0.0683,-0.4436,-0.895,0.2636,0.6872
17,518.9701,709.2428,-3.0578,1.1249,-0.2135,-0.0898,-0.3756,-1.0111,-0.0907,0.7478
17,519.0161,709.145,-2.9734,1.1525,-0.1666,-0.1302,-0.5413,-1.0987,0.4007,0.6626
17,518.8615,708.6407,-3.0149,1.174,-0.1022,-0.1127,-0.6387,-1.1857,0.3812,0.6108
17,519.0894,708.2826,-2.9764,1.2203,-0.0121,-0.0525,-0.6125,-1.1219,0.325,0.5768
17,519.5404,709.026,-2.992,1.2007,-0.0958,-0.2326,-0.4998,-0.9482,0.5312,0.6091
17,521.7006,709.1147,-3.0008,1.3822,-0.0919,-0.0451,-0.5321,-1.0113,0.4337,0.6542
17,522.4399,709.2649,-2.9289,1.1679,-0.3012,0.0894,-0.7852,-0.9692,0.461,0.5998
17,521.6669,708.5192,-2.9069,1.2655,-0.1243,-0.1165,-0.6343,-0.9403,0.573,0.7076
17,522.557,707.3571,-2.9319,1.2836,-0.1881,-0.057,-0.5562,-1.05,0.3863,0.8307
17,522.2928,705.5787,-2.8474,1.4363,-0.1294,0.0327,-0.5023,-0.8564,0.3252,0.7383
17,522.9365,705.5905,-2.8189,1.2737,-0.0575,-0.0756,-0.5181,-0.8527,0.3651,0.857
17,523.4134,705.3034,-2.8031,1.425,-0.1572,-0.121,-0.6985,-0.8396,0.3936,0.8425
17,523.6715,705.2194,-2.7773,1.2974,0.0142,0.0045,-0.7107,-0.8012,1.0147,0.8717
17,522.6839,704.6129,-2.8534,1.2801,-0.0044,-0.1446,-0.9562,-0.72,0.971,1.0244
17,522.4721,704.2243,-2.8223,1.4516,0.0115,-0.1044,-0.835,-0.6855,0.9659,0.8897
17,522.2255,703.5073,-2.8147,1.2919,-0.0241,0.0148,-0.8505,-0.9924,0.6307,0.9437
17,522.0956,703.5828,-2.7861,1.3044,0.0168,-0.1272,-0.6849,-0.7153,0.8119,1.0089
17,521.9092,704.3952,-2.8403,1.1572,-0.0902,-0.1923,-0.7624,-0.993,0.4167,0.9285
17,521.399,704.3046,-2.7909,1.2686,-0.1343,-0.2427,-0.7341,-0.7906,0.3942,0.7644
17,520.3702,704.6946,-2.8735,1.289,-0.1894,-0.3357,-0.7936,-0.8418,0.6177,0.931
17,519.6617,705.4409,-2.884,1.2491,-0.1434,-0.3774,-0.7508,-0.7994,0.6207,0.8755
17,519.7666,704.0786,-2.8171,1.181,-0.2554,-0.291,-0.4911,-0.8151,0.5647,0.9568
17,519.396,704.4208,-2.8455,1.1313,-0.12,-0.2702,-0.5662,-0.8834,0.8064,1.1706
17,520.5926,704.8617,-2.8974,1.265,-0.271,-0.0847,-0.4822,-0.6782,0.9339,1.108
17,521.0209,704.989,-2.9223,1.3225,-0.096,0.0233,-0.3543,-0.9427,1.1898,1.0143
17,520.4127,705.8032,-2.8947,1.3,-0.1385,-0.0318,-0.3323,-0.6224,1.3806,0.9724
17,520.3589,705.9347,-2.9297,1.2778,-0.1694,0.0468,-0.5916,-1.0692,1.1675,1.2648
17,520.607,705.1765,-2.9559,1.2839,0.0012,-0.0149,-0.484,-0.8612,1.3418,1.387
17,520.0343,705.8936,-2.8633,1.3426,-0.1096,-0.0779,-0.306,-0.8053,1.0815,1.3327
17,519.4425,705.3181,-2.8409,1.3857,0.0059,-0.0987,-0.35,-0.7739,1.1261,1.3673
17,519.3466,703.9377,-2.8719,1.2446,-0.0858,-0.0066,-0.201,-1.0589,0.9726,1.1836
17,518.4961,704.2923,-2.8862,1.1733,-0.1531,-0.0142,-0.3716,-0.9222,0.9002,1.1503
17,518.2106,704.8854,-2.9395,1.2911,-0.1268,-0.1115,-0.2826,-0.8118,0.7257,1.3019
17,518.1028,705.0071,-2.8485,1.2757,-0.1944,0.0312,-0.4999,-0.9179,0.5808,1.1652
17,518.8754,705.0261,-2.9222,1.2637,-0.0139,-0.0626,-0.2801,-1.0093,0.6568,1.013
17,518.7167,704.3205,-2.8734,1.218,-0.1004,-0.0932,-0.3228,-0.8171,0.8786,1.0701
17,519.0086,703.8704,-2.8982,1.2483,-0.1734,-0.1564,-0.3826,-0.9484,0.665,0.95
17,519.4183,705.1522,-2.8237,1.3591,-0.2156,-0.1574,-0.2652,-1.0296,0.7732,0.8235
17,519.4591,704.7433,-2.8913,1.2693,-0.396,-0.2228,-0.4374,-0.9614,1.1044,0.8317
17,519.7367,705.5218,-2.9202,1.2226,-0.239,-0.1691,-0.456,-0.736,1.1396,0.7512
17,520.2236,705.9295,-2.89,1.3008,-0.1767,0.0095,-0.5224,-0.89,1.3082,0.8764
17,518.8764,706.9245,-2.9447,1.2942,-0.1519,-0.1529,-0.3881,-0.6454,0.9466,0.7311
17,519.604,705.2075,-2.9292,1.3111,-0.1278,0.1221,-0.3625,-0.8218,0.9947,0.721
