syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
7,462.961,531.8522,0.8212,-0.7658,0.7836,0.3478,0.9738,-0.2731,0.4988,-0.034
7,466.0563,533.1599,0.7429,-0.7439,0.7114,0.423,0.9244,-0.1892,0.625,0.2741
7,467.6432,533.787,0.7814,-1.0143,0.9045,0.106,0.7345,-0.4464,0.8133,0.5045
7,470.8305,536.1697,0.7309,-1.1104,1.0298,-0.0651,0.8452,-0.703,0.9476,0.4231
7,474.0983,537.6155,0.7044,-1.3657,0.9778,-0.2326,0.8584,-0.5504,0.8755,0.0292
7,478.3747,537.9639,0.6466,-1.2364,1.0916,-0.5371,1.008,-0.6883,1.1074,-0.0354
7,482.4424,538.6459,0.6624,-1.3497,1.0659,-0.7363,0.8293,-0.5236,1.1053,-0.4073
7,486.287,539.7592,0.6139,-1.3459,0.81,-0.7367,0.6048,-0.3562,0.5089,-0.2389
7,490.7832,540.5616,0.5568,-1.485,0.6738,-0.9245,0.3762,-0.5376,0.6127,-0.0667
7,496.365,541.81,0.538,-1.4861,0.5675,-0.9528,0.4935,-0.503,0.1604,-0.1246
7,500.2873,543.1495,0.4964,-1.2605,0.6349,-1.0538,0.6839,-0.6185,0.1462,-0.4483
7,505.2069,544.0646,0.4813,-1.2242,0.7028,-1.295,0.7625,-0.7517,-0.1674,-0.1425
7,508.3986,544.2571,0.4593,-1.0729,0.8221,-1.4541,0.8433,-0.7084,-0.0235,-0.6472
7,510.9219,545.8018,0.3983,-1.2703,0.4402,-1.1036,0.6542,-0.2885,-0.1077,-0.2082
7,513.0663,546.3395,0.3884,-1.1877,0.416,-0.8465,0.7511,-0.4237,0.0976,-0.167
7,515.9381,547.4412,0.3798,-1.2384,0.4349,-0.9017,0.7886,-0.3828,0.0379,-0.2038
7,519.1516,547.9745,0.4032,-1.2437,0.7606,-0.9949,1.0008,-0.5073,0.1186,-0.2672
7,521.6675,548.6252,0.4328,-1.4725,0.5987,-0.8929,0.8945,-0.6549,0.0857,-0.2608
7,522.5787,549.4783,0.3869,-1.5147,0.5071,-0.7881,0.8927,-0.5601,0.2926,-0.3753
7,525.0735,549.5236,0.3669,-1.4706,0.5662,-0.6479,0.8671,-0.6138,0.1375,-0.4496
7,526.3921,549.4825,0.3737,-1.3897,0.6284,-0.7805,0.8178,-0.6623,0.3067,-0.7963
7,528.7201,549.1048,0.3364,-1.2511,0.7332,-0.7702,0.6611,-0.8413,-0.0112,-0.3503
7,529.1967,548.2101,0.2819,-1.1348,0.6601,-0.7644,0.8679,-0.7231,0.1519,-0.413
7,529.3724,548.1047,0.2486,-1.1001,0.7794,-0.7906,0.8826,-0.8302,0.0023,-0.4771
7,530.6663,546.6829,0.1925,-1.0004,0.7077,-0.5553,1.0537,-0.6,-0.4881,-0.8608
7,531.0415,545.2046,0.049,-0.7024,0.7872,-0.6328,1.4226,-0.5668,-0.1874,-0.7846
7,531.0547,544.4283,-0.1131,-0.6259,1.0495,-0.2257,1.5066,-0.8375,-0.3145,-0.3127
7,530.6338,541.9891,-0.2154,-0.6002,0.9913,-0.0576,1.6684,-0.44,0.2244,-0.4864
7,531.1563,541.1973,-0.3372,-0.5392,0.8994,0.2787,1.4637,-0.3982,0.2185,-0.4044
7,531.8419,540.6162,-0.4064,-0.511,1.0409,0.015,1.3355,-0.4553,0.652,-0.1964
7,535.4063,537.7822,-0.413,-0.4551,1.0213,-0.0876,1.0884,-0.4313,0.8421,-0.2097
7,538.0649,535.3573,-0.5055,-0.7947,0.9052,-0.0181,1.0008,-0.56,0.8986,-0.5788
7,541.0462,531.9681,-0.5872,-0.91,0.904,0.027,0.9394,-0.7893,0.8447,-0.307
7,544.2524,528.8067,-0.6592,-0.8875,0.9087,-0.0118,1.1093,-0.8173,1.1626,-0.3837
7,547.5865,525.3594,-0.7763,-0.8318,0.9459,-0.1613,1.1605,-0.8798,0.9205,-0.5316
7,550.2942,521.2061,-0.923,-0.5758,0.8248,-0.3424,1.4154,-0.7781,1.0212,-0.7275
7,552.3505,518.3412,-0.9805,-0.45,0.9874,-0.3406,1.4925,-0.5324,0.9309,-1.0386
7,553.3477,515.3042,-1.0892,-0.4866,0.9267,-0.1802,1.3428,-0.5022,0.8095,-0.7224
7,553.6162,512.749,-1.2013,-0.3378,0.973,-0.3725,1.4656,-0.5299,0.9938,-0.6832
3,554.1876,510.0271,-1.305,-0.4443,1.001,-0.5726,1.4911,-0.4529,0.7428,-0.5448
3,555.1338,507.4851,-1.376,-0.4689,0.9991,-0.5491,1.5314,-0.4161,0.8817,-0.6647
3,556.2631,504.0045,-1.4373,-0.6808,0.9929,-0.5062,1.3831,-0.6876,0.946,-0.2013
3,556.4134,500.4959,-1.4459,-0.8621,0.9825,-0.8312,1.4255,-0.653,0.8364,-0.1975
3,557.1918,495.7198,-1.4863,-1.1103,1.0812,-0.6979,1.322,-1.015,0.8356,-0.2048
3,558.8012,491.0178,-1.4703,-1.193,1.0427,-0.8583,1.2576,-0.8884,0.9501,-0.2219
3,558.7009,486.6788,-1.4733,-1.211,0.995,-0.7888,1.1462,-0.8781,0.7429,-0.1057
3,559.3183,484.6275,-1.5248,-1.1385,1.012,-0.6287,1.3103,-0.9888,0.2904,-0.2558
3,560.1823,482.9614,-1.5443,-1.0354,0.8596,-0.7247,1.3864,-0.8453,0.3009,-0.0418
3,559.4059,481.7613,-1.5362,-1.0956,0.8893,-0.7838,1.5796,-0.6662,0.1069,-0.1659
3,560.061,480.9471,-1.5507,-1.1883,0.7691,-0.6098,1.3546,-1.0538,-0.0621,-0.1033
3,559.0746,477.8788,-1.5437,-1.2315,0.8189,-0.6514,1.3509,-0.8881,0.0745,0.0099
3,559.1645,475.9125,-1.5875,-1.2827,0.75,-0.6107,1.1959,-0.7607,0.5031,0.1191
3,559.9579,474.0413,-1.5966,-1.283,0.7736,-0.6645,1.1354,-0.7605,0.4848,0.1556
3,560.5355,470.618,-1.5953,-1.2729,0.8207,-0.6146,1.0657,-0.76,0.7122,0.297
3,561.4213,467.4171,-1.6221,-1.2569,0.9291,-0.7399,0.8621,-0.7851,0.4539,0.2505
3,561.7641,463.1739,-1.5867,-1.2659,0.7732,-1.0123,0.819,-0.6415,0.4553,0.006
3,562.9671,458.3606,-1.603,-1.1462,0.6541,-1.1092,0.6664,-0.635,0.3137,0.2255
3,563.264,454.9132,-1.5905,-1.1696,0.629,-0.8924,0.5952,-0.5811,0.0647,0.1558
3,564.3035,450.8893,-1.5613,-1.2402,0.5628,-0.9977,0.6152,-0.6279,0.0631,0.0412
3,565.1892,446.9991,-1.526,-1.3439,0.6096,-1.092,0.4972,-0.6576,0.0478,-0.0329
3,564.5222,443.722,-1.6123,-1.1479,0.6322,-0.8935,0.7305,-0.6691,-0.0944,0.224
3,564.1203,440.7234,-1.6232,-1.2386,0.6709,-0.8546,0.6087,-0.7492,-0.1541,0.3363
