DigitalIOName,DigitalIOFlag,DigitalIOState,SystemTimestamp,ComputerTimestamp
Input1,1,True,7313.4853759999996,53062176.2588
Input0,0,True,7531.3244160000004,53280012.632400006
Input1,1,False,7913.3762239999996,53662062.534900002
