syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
38,443.8997,794.0813,-1.5314,0.0364,0.7745,-0.22,0.6368,-0.0355,1.3449,0.3971
38,443.1329,794.1625,-1.4819,0.0402,0.854,-0.2614,0.6199,-0.2739,1.3215,0.103
38,442.7473,793.631,-1.5189,0.1034,0.6475,-0.3412,0.8248,-0.224,1.609,0.1578
38,443.3634,793.5448,-1.5394,0.2086,0.8356,-0.2127,0.6509,-0.0846,1.5565,0.1885
38,442.9264,793.8828,-1.4882,0.1242,0.9496,-0.1567,0.6706,-0.0737,1.2587,0.2713
38,443.5429,793.9355,-1.5075,0.1781,0.8535,-0.3501,0.776,-0.0748,1.4832,0.2417
38,443.2252,794.2414,-1.5251,0.1844,0.8947,-0.1977,0.7237,-0.0844,1.324,0.2544
38,442.914,794.1778,-1.5367,0.16,0.9232,-0.1706,0.7321,-0.1804,1.3044,0.2968
38,443.2627,794.8502,-1.4965,0.1312,0.8812,-0.4385,0.7147,0.0142,1.2927,0.1502
38,443.4148,794.5826,-1.5198,0.0958,0.8185,-0.3751,0.8311,-0.1299,1.3089,0.2364
38,443.1199,794.0499,-1.5127,0.2001,0.9062,-0.151,0.8049,-0.5128,1.3142,0.2707
38,443.9347,794.6235,-1.472,0.1598,0.912,-0.1884,0.6657,-0.0504,1.5161,0.3339
38,443.6311,793.81,-1.5124,0.3046,0.8948,-0.2481,0.6777,-0.1841,1.2214,0.3378
38,444.5178,794.0758,-1.5169,0.254,0.9727,-0.1354,0.9347,-0.3328,1.4492,0.2753
38,443.6937,793.8446,-1.4912,0.2786,0.9897,-0.0993,0.7571,-0.2947,1.6629,0.361
38,443.8532,794.5687,-1.5128,0.3137,0.9666,-0.2355,0.7322,-0.3342,1.3498,0.4693
38,443.6535,795.2825,-1.4707,0.2823,0.9653,-0.0363,0.7732,-0.4099,1.4412,0.3686
38,443.8201,794.4363,-1.5149,0.2506,0.9885,-0.0871,0.7374,-0.4793,1.3204,0.4381
38,442.7498,795.0185,-1.5227,0.153,0.7992,-0.05,0.8275,-0.2203,1.1498,0.1393
38,443.7192,795.0164,-1.5584,0.216,0.9454,-0.2773,0.7071,-0.2884,1.2567,0.0807
38,443.5432,794.6698,-1.4868,0.1407,0.9353,0.0072,0.7761,-0.3166,1.333,0.3176
38,443.4511,793.8699,-1.5087,0.2144,0.9073,-0.1473,0.7962,-0.0797,1.1964,0.056
38,443.6562,794.5258,-1.494,0.1446,0.9046,-0.2379,0.899,-0.2315,1.3764,0.4193
38,444.1315,794.3642,-1.5042,0.1764,0.9632,-0.1681,0.8774,-0.2037,1.3797,-0.0297
38,445.1755,794.797,-1.5347,0.2026,1.0223,-0.0074,0.7914,-0.3586,1.2501,0.3829
38,444.4761,794.8371,-1.4849,0.2556,0.8892,-0.1578,0.8632,-0.1713,1.3167,0.4149
38,445.1924,794.3732,-1.4989,0.2456,0.9301,-0.1079,0.7509,-0.2974,1.1886,0.1335
38,443.774,793.4355,-1.509,0.1133,0.8439,-0.1191,0.8957,-0.1849,1.4806,0.2403
38,443.1092,793.7928,-1.569,0.2266,0.8739,-0.1366,0.8868,0.0004,1.2035,0.1203
38,444.1245,794.6468,-1.5007,0.2786,0.8829,-0.3059,0.745,-0.1605,1.1193,0.0058
38,444.6688,794.3728,-1.5188,0.1864,1.0509,-0.198,0.8044,-0.1597,1.4765,-0.0214
38,444.0673,793.8248,-1.5042,0.2482,1.2082,-0.2336,0.8103,0.0173,1.3913,-0.0629
38,443.5843,793.9152,-1.4648,0.193,0.988,-0.2935,0.7347,-0.1138,1.5995,-0.0426
38,443.2778,794.341,-1.499,0.1271,1.0988,-0.216,0.61,0.1061,1.4645,-0.0526
38,443.3873,794.5344,-1.4981,0.1831,0.9657,-0.2789,0.6485,0.0741,1.5406,0.1857
