FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,4715.537568,7,44180295.1424,0.00392156862745098
1,4715.557536,2,44180315.0464,0.0386399491876165
2,4715.577536,1,44180335.0784,0.0233511586452763
3,4715.597536,2,44180355.0592,0.0383408117688036
4,4715.617536,1,44180377.5872,0.0232067121519454
5,4715.637536,2,44180395.0464,0.0378316634908927
6,4715.657536,1,44180415.0656,0.0231565144344049
7,4715.677536,2,44180435.072,0.0373276374290573
8,4715.697536,1,44180455.0656,0.0230192390435798
9,4715.717536,2,44180475.0848,0.0370069867027271
10,4715.737536,1,44180495.1168,0.0230540701128936
11,4715.757536,2,44180515.072,0.0365162784026881
12,4715.777536,1,44180535.0656,0.0229147458356383
13,4715.797536,2,44180555.072,0.0365480361423566
14,4715.817536,1,44180575.0656,0.0228963058577663
15,4715.837536,2,44180595.1232,0.0367744380928965
16,4715.857536,1,44180615.1168,0.0227784948880284
17,4715.877536,2,44180635.072,0.0368912246194193
18,4715.897536,1,44180655.1424,0.0227262482840576
19,4715.917536,2,44180675.0848,0.0365562316880775
20,4715.937536,1,44180695.104,0.0225633618128547
21,4715.957536,2,44180715.1488,0.0363912963304444
22,4715.977536,1,44180735.104,0.0225818017907267
23,4715.997536,2,44180755.0976,0.0363882230007991
24,4716.017536,1,44180775.0912,0.02252033519782
25,4716.037536,2,44180795.1232,0.0367600958878849
26,4716.057536,1,44180815.104,0.0225090663224537
27,4716.077536,2,44180835.0976,0.0368215624807917
28,4716.097536,1,44180855.104,0.0224137931034483
29,4716.117536,2,44180875.0976,0.0368809801872682
30,4716.137536,1,44180895.1424,0.0223789620341345
31,4716.157536,2,44180915.1104,0.0367088737271293
32,4716.177536,1,44180935.1296,0.0223441309648206
33,4716.197536,2,44180955.136,0.036679164873891
34,4716.217536,1,44180975.1168,0.0222611510643965
35,4716.237536,2,44180995.136,0.0365019361976766
36,4716.257536,1,44181015.1808,0.0222580777347512
37,4716.277536,2,44181035.1232,0.0360378634212306
