week,mouse_id,condition,behavior,duration_s,bin_index,bin_label,bout_onset_s
Preinduction,374,Novel,Novel_interaction,2.5200000000550062,0,0.0-2.5min,5.0
Preinduction,374,Novel,Novel_interaction,18.560000000405125,0,0.0-2.5min,29.359935999998925
Preinduction,374,Novel,Novel_interaction,1.3200000000288128,0,0.0-2.5min,142.91977599999882
Preinduction,374,Novel,Novel_interaction,11.760000000256696,1,2.5-5.0min,260.5196159999996
Preinduction,374,Novel,Novel_interaction,1.8400000000401633,1,2.5-5.0min,275.4795839999988
Preinduction,374,Novel,Social_interaction,3.3600000000733417,0,0.0-2.5min,71.15987200000018
Preinduction,374,Novel,Social_interaction,1.2400000000270666,0,0.0-2.5min,112.03980799999954
Preinduction,374,Novel,Social_interaction,3.800000000082946,1,2.5-5.0min,203.3196799999987
Preinduction,374,Novel,Social_interaction,0.7600000000165892,1,2.5-5.0min,210.4396799999995
Preinduction,374,Novel,Social_interaction,1.720000000037544,1,2.5-5.0min,221.55967999999848
Preinduction,429,Social,Novel_interaction,1.5200000000331784,0,0.0-2.5min,36.159999999999854
Preinduction,429,Social,Novel_interaction,0.8800000000192085,0,0.0-2.5min,134.63993599999958
Preinduction,429,Social,Novel_interaction,7.760000000169384,1,2.5-5.0min,189.5999359999987
Preinduction,429,Social,Novel_interaction,2.3200000000506407,1,2.5-5.0min,201.8399359999985
Preinduction,429,Social,Novel_interaction,1.9200000000419095,1,2.5-5.0min,287.07987200000025
Preinduction,429,Social,Social_interaction,4.160000000090804,0,0.0-2.5min,1.0
Preinduction,429,Social,Social_interaction,3.9600000000864384,0,0.0-2.5min,6.479999999999563
Preinduction,429,Social,Social_interaction,7.360000000160653,0,0.0-2.5min,13.399999999999636
Preinduction,429,Social,Social_interaction,4.640000000101281,0,0.0-2.5min,22.0
Preinduction,429,Social,Social_interaction,13.400000000292493,0,0.0-2.5min,51.31999999999971
Preinduction,429,Social,Social_interaction,6.560000000143191,0,0.0-2.5min,72.79996799999935
Preinduction,429,Social,Social_interaction,10.000000000218279,0,0.0-2.5min,81.11996799999906
Preinduction,429,Social,Social_interaction,16.400000000357977,0,0.0-2.5min,147.03993599999922
Preinduction,429,Social,Social_interaction,3.6400000000794535,1,2.5-5.0min,164.7199359999995
Preinduction,429,Social,Social_interaction,6.0800000001327135,1,2.5-5.0min,227.1599040000001
Preinduction,429,Novel,Novel_interaction,4.760000000103901,0,0.0-2.5min,8.280000000000655
Preinduction,429,Novel,Novel_interaction,0.9200000000200816,0,0.0-2.5min,15.680000000000291
Preinduction,429,Novel,Novel_interaction,5.160000000112632,0,0.0-2.5min,27.31999999999971
Preinduction,429,Novel,Novel_interaction,6.120000000133587,0,0.0-2.5min,60.55996799999957
Preinduction,429,Novel,Novel_interaction,2.6400000000576256,0,0.0-2.5min,70.51996800000052
Preinduction,429,Novel,Novel_interaction,0.8000000000174623,0,0.0-2.5min,100.07996800000001
Preinduction,429,Novel,Novel_interaction,2.2000000000480213,1,2.5-5.0min,168.4799039999998
Preinduction,429,Novel,Novel_interaction,4.280000000093423,1,2.5-5.0min,174.99987200000032
Preinduction,429,Novel,Novel_interaction,4.760000000103901,1,2.5-5.0min,186.51987200000076
Preinduction,429,Novel,Novel_interaction,1.5200000000331784,1,2.5-5.0min,212.83984000000055
Preinduction,429,Novel,Novel_interaction,1.1200000000244472,1,2.5-5.0min,218.07984000000033
Preinduction,429,Novel,Novel_interaction,17.240000000376313,1,2.5-5.0min,220.23984000000019
Preinduction,429,Novel,Novel_interaction,3.800000000082946,1,2.5-5.0min,282.5997759999991
Preinduction,429,Novel,Social_interaction,5.7600000001257285,0,0.0-2.5min,42.0
Preinduction,429,Novel,Social_interaction,6.16000000013446,0,0.0-2.5min,78.7599680000003
Preinduction,429,Novel,Social_interaction,3.3600000000733417,0,0.0-2.5min,86.79996799999935
Preinduction,429,Novel,Social_interaction,4.24000000009255,1,2.5-5.0min,252.43980799999918
Preinduction,429,Novel,Social_interaction,1.3200000000288128,1,2.5-5.0min,258.3998080000001
Preinduction,423,Social,Novel_interaction,2.040000000044529,0,0.0-2.5min,149.8000639999991
Preinduction,423,Social,Novel_interaction,2.040000000044529,1,2.5-5.0min,155.0400640000007
Preinduction,423,Social,Novel_interaction,3.0000000000654836,1,2.5-5.0min,158.36006400000042
Preinduction,423,Social,Social_interaction,10.28000000022439,0,0.0-2.5min,15.200000000000728
Preinduction,423,Social,Social_interaction,5.200000000113505,0,0.0-2.5min,28.44003200000043
Preinduction,423,Social,Social_interaction,15.16000000033091,0,0.0-2.5min,44.44003200000043
Preinduction,423,Social,Social_interaction,5.800000000126602,0,0.0-2.5min,73.88006399999904
Preinduction,423,Social,Social_interaction,19.40000000042346,0,0.0-2.5min,100.04006400000071
Preinduction,423,Social,Social_interaction,2.3200000000506407,1,2.5-5.0min,216.24006399999962
