FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,11502.72656,7,57252769.7664,0.00392156862745098
1,11502.746528,2,57252789.6704,0.0403558915729301
2,11502.766528,1,57252809.6512,0.0338783371237732
3,11502.786528,2,57252829.6704,0.0402411539328375
4,11502.806528,1,57252849.8944,0.0337697461429713
5,11502.826528,2,57252869.6448,0.0398928432396992
6,11502.846528,1,57252889.664,0.0336836929129018
7,11502.866528,2,57252909.7216,0.0397022968016883
8,11502.886528,1,57252929.728,0.0336437396275124
9,11502.906528,2,57252949.7984,0.0396019013666073
10,11502.926528,1,57252970.2656,0.0335648574999488
11,11502.946528,2,57252989.6832,0.0394277460200381
12,11502.966528,1,57253009.7024,0.0333835310508738
13,11502.986528,2,57253029.7088,0.0394554059868461
14,11503.006528,1,57253049.7408,0.0333384555494089
15,11503.026528,2,57253069.6832,0.0393058372774397
16,11503.046528,1,57253089.6512,0.0332810867293626
17,11503.066528,2,57253109.7984,0.0390138709611326
18,11503.086528,1,57253129.9456,0.0332954289343742
19,11503.106528,2,57253149.8112,0.0387977134427439
20,11503.126528,1,57253169.7152,0.0331796668510664
21,11503.146528,2,57253189.7216,0.0385108693425123
22,11503.166528,1,57253209.7024,0.0331069313827934
23,11503.186528,2,57253229.7472,0.0383244206773619
24,11503.206528,1,57253249.7408,0.0330526358923925
25,11503.226528,2,57253269.696,0.0382731985166062
26,11503.246528,1,57253289.7152,0.0329993648452066
27,11503.266528,2,57253309.76,0.0380662609871535
28,11503.286528,1,57253329.7536,0.0329942426291311
29,11503.306528,2,57253349.7856,0.037916692277747
30,11503.326528,1,57253372.6208,0.0328877005347594
31,11503.346528,2,57253389.7472,0.0376820947814863
32,11503.366528,1,57253409.7152,0.032821111725777
33,11503.386528,2,57253429.7088,0.0375663326981785
34,11503.406528,1,57253449.7792,0.0328610650111664
35,11503.426528,2,57253469.7856,0.0375376482881554
36,11503.446528,1,57253489.7664,0.0327094474153298
37,11503.466528,2,57253509.8624,0.0373163685536911
38,11503.486528,1,57253529.8688,0.0325865142295163
39,11503.506528,2,57253549.7728,0.0370920154895814
40,11503.526528,1,57253569.792,0.0325762697973651
41,11503.546528,2,57253589.76,0.0370028889298666
42,11503.566528,1,57253609.7536,0.0326018808777429
43,11503.586528,2,57253629.8112,0.0368850779601287
44,11503.606528,1,57253649.7664,0.032502509885877
45,11503.626528,2,57253669.9008,0.0368236113672219
46,11503.646528,1,57253689.7408,0.0324441166226156
47,11503.666528,2,57253709.7088,0.0367416559100129
48,11503.686528,1,57253729.8176,0.0325373409551909
49,11503.706528,2,57253749.7984,0.0367355092507222
50,11503.726528,1,57253770.2016,0.0324492388386912
51,11503.746528,2,57253789.9008,0.0368174647079312
52,11503.766528,1,57253809.792,0.0323539656196857
53,11503.786528,2,57253829.8368,0.0368902001762042
54,11503.806528,1,57253849.7792,0.0324676788165632
55,11503.826528,2,57253869.824,0.0370561599770525
56,11503.846528,1,57253889.856,0.0324185055422378
57,11503.866528,2,57253909.7856,0.0373440285204991
58,11503.886528,1,57253929.856,0.0324277255311738
59,11503.906528,2,57253950.528,0.0375079394349171
60,11503.926528,1,57253969.792,0.0324420677361854
61,11503.946528,2,57253989.8624,0.0375530149363821
62,11503.966528,1,57254009.8432,0.0323549900629008
63,11503.986528,2,57254029.8752,0.037633945950376
64,11504.006528,1,57254049.8048,0.0323529411764706
65,11504.026528,2,57254069.8368,0.0376144815292888
66,11504.046528,1,57254089.7792,0.0323304034257381
67,11504.066528,2,57254109.9008,0.0375929682217715
68,11504.086528,1,57254129.8304,0.0323027434589301
69,11504.106528,2,57254149.7984,0.0374454483987953
70,11504.126528,1,57254169.8176,0.0323242567664474
71,11504.146528,2,57254189.8368,0.0373368574179933
72,11504.166528,1,57254209.8816,0.0323560145061159
73,11504.186528,2,57254229.9264,0.0373891040219641
74,11504.206528,1,57254249.8304,0.0323488434036101
75,11504.226528,2,57254269.7728,0.0374300817505686
76,11504.246528,1,57254289.8304,0.032338598971459
77,11504.266528,2,57254309.8496,0.0373122707808306
78,11504.286528,1,57254329.8816,0.0323795767000635
79,11504.306528,2,57254349.8752,0.0371893375950171
80,11504.326528,1,57254369.8176,0.032265863503186
81,11504.346528,2,57254389.8624,0.0371391398774766
82,11504.366528,1,57254410.368,0.0323590878357613
83,11504.386528,2,57254429.9264,0.0370387444423955
84,11504.406528,1,57254449.92,0.0323724055975577
85,11504.426528,2,57254469.8368,0.0368256602536521
