method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,trial_SD,threshold_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,29,197.2397120000005,3.8961087898871165,0.9293160071879207,1.8586320143758415,True,3.0,1.1937120000005166,-6.608287999999504
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,30,197.799712,3.4044990174501897,0.9293160071879207,1.8586320143758415,True,3.0,1.7537120000000073,-6.048288000000014
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,31,198.799712,4.744684186738402,0.9293160071879207,1.8586320143758415,True,3.0,2.7537120000000073,-5.048288000000014
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,32,199.99971199999982,3.6944527627272987,0.9293160071879207,1.8586320143758415,True,3.0,3.9537119999998254,-3.8482880000001956
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,33,201.55971200000022,2.5669863053106896,0.9293160071879207,1.8586320143758415,True,3.0,5.5137120000002255,-2.2882879999997954
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,34,204.07971199999974,2.050320551530451,0.9293160071879207,1.8586320143758415,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,35,204.9197119999999,1.9804270978253586,0.9293160071879207,1.8586320143758415,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,36,229.71968000000015,1.8907413870267071,0.9293160071879207,1.8586320143758415,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,37,230.95967999999993,2.441700295873064,0.9293160071879207,1.8586320143758415,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,38,231.87968,2.2994021245586307,0.9293160071879207,1.8586320143758415,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,39,247.6796800000002,2.44921424766763,0.9293160071879207,1.8586320143758415,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,1,6.640000000000327,2.252341504883969,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,2,11.600000000000364,3.30671024918606,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,3,37.39996799999972,2.6502307839699846,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,4,42.839968000000226,2.9847601965733412,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,5,45.31996799999979,2.5243110218033067,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,6,50.43993599999976,3.395175588486491,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,7,76.5999040000006,3.9589102956448006,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,8,105.39990399999988,2.803388944024275,0.9190635134547634,1.838127026909527,False,,,
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,9,109.95990400000028,2.9660297726505123,0.9190635134547634,1.838127026909527,False,,,
