mouse_id,genotype,week,mean_dFF
533,NE,Preinduction,-3.808757808277781e-05
533,NE,W1,-9.548226633962019e-05
533,NE,W2,0.0008568395154717835
541,NE,Preinduction,0.01755888979933401
541,NE,W1,5.036831747938657e-12
541,NE,W2,0.006817317007264965
566,NE,Preinduction,0.004487031510681001
566,NE,W1,0.000992823871077495
566,NE,W2,0.0030350671617385
580,NE,Preinduction,-1.7336980309930753e-05
580,NE,W1,-6.340979210600721e-06
580,NE,W2,-1.0536163889643615e-06
588,NE,Preinduction,0.0005588403108926856
588,NE,W1,0.001236717055402584
588,NE,W2,0.0006093503514165492
590,NE,Preinduction,-8.526866352219457e-06
590,NE,W1,9.65548881306517e-05
590,NE,W2,0.0005764039841474247
