method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_SD,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
static_trial_SD,Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,533,NE,Novel,Preinduction,Interaction,13.83999999999999,2,0.14450867052023134,8.67052023121388,3.7794034598780426,3.7794034598780426,1.0183285883065416,2.036657176613083,299.8408640000016,13.83999999999999,286.0008640000016,3
static_trial_SD,W1__ID533_NE__3CT_FP24_3__3CT_W1_C3-Trial____28,533,NE,Novel,W1,Interaction,35.72000000000003,15,0.41993281075027966,25.19596864501678,3.68378016700741,3.5988497265179973,0.9758035640280444,1.9516071280560887,299.88041599999997,35.72000000000003,264.16041599999994,5
static_trial_SD,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Interaction,47.28000000000003,15,0.31725888324873075,19.035532994923845,3.513067170504776,3.152686411540714,0.9449686998879144,1.8899373997758289,299.88038400000005,47.28000000000003,252.60038400000002,7
static_trial_SD,Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,541,NE,Novel,Preinduction,Interaction,1.9199999999999875,1,0.5208333333333367,31.250000000000203,2.5333887229195375,2.5333887229195375,0.9217296324954481,1.8434592649908963,299.8407999999981,1.9199999999999875,297.92079999999817,1
static_trial_SD,W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,541,NE,Novel,W1,Interaction,22.880000000000024,5,0.2185314685314683,13.111888111888097,2.390864016397978,2.0048527682792523,0.969382981985481,1.938765963970962,299.840064,22.880000000000024,276.960064,5
static_trial_SD,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Interaction,10.400000000000006,5,0.4807692307692305,28.84615384615383,2.198062365576404,2.155945466652485,0.9180689000883018,1.8361378001766036,299.8800319999973,10.400000000000006,289.4800319999973,6
static_trial_SD,Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Interaction,32.38,9,0.2779493514515133,16.676961087090795,3.5434643418364744,3.2927801799505887,1.0128442286461206,2.025688457292241,299.84031999999934,32.38,267.46031999999934,7
static_trial_SD,W1__ID566_NE__3CT_FP8_3__3CT_W1_C3-Trial____11,566,NE,Novel,W1,Interaction,29.159999999999997,5,0.1714677640603567,10.288065843621402,2.8506852947295647,2.7482056305117477,1.339188604637093,2.678377209274186,299.84019199999966,29.159999999999997,270.6801919999997,7
static_trial_SD,W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Interaction,87.8199999999999,21,0.2391254839444321,14.347529036665925,3.1887616324616435,3.1350501556534116,1.0711286433105076,2.142257286621015,299.84019199999966,87.8199999999999,212.02019199999978,14
static_trial_SD,Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Interaction,17.679999999999993,7,0.3959276018099549,23.755656108597293,2.766069598964036,2.511454644533348,0.9332940640458557,1.8665881280917114,299.8399360000003,17.679999999999993,282.1599360000003,4
static_trial_SD,W1__ID580_NE__3CT_FP11_3__3CT_W1_C3-Trial____14,580,NE,Novel,W1,Interaction,22.060000000000002,6,0.2719854941069809,16.319129646418855,2.544910194117293,2.3241182602039103,0.9402802904629197,1.8805605809258394,299.88035200000013,22.060000000000002,277.8203520000001,4
static_trial_SD,W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Interaction,14.499999999999986,6,0.41379310344827624,24.827586206896576,2.720732368608896,2.5462885535978472,0.9803687552890183,1.9607375105780367,299.8403520000011,14.499999999999986,285.3403520000011,8
static_trial_SD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Interaction,16.706000000000017,1,0.059858733389201425,3.5915240033520854,2.7310203277884106,2.7310203277884106,0.9898831007600358,1.9797662015200717,299.8397759999998,16.706000000000017,283.1337759999998,4
static_trial_SD,W1__ID588_NE__3CT_FP2_3__3CT_W1_C3-Trial_____4,588,NE,Novel,W1,Interaction,21.220000000000027,9,0.4241281809613567,25.4476908576814,4.212408183799758,3.4842466416492077,0.9903497488333499,1.9806994976666998,299.8398400000001,21.220000000000027,278.61984000000007,6
