week,mouse_id,behavior,n_bouts,total_duration_s,mean_duration_s,median_duration_s
W2,ID398,In zone(O1_round / Nose-point),1,4.701000000000079,4.701000000000079,4.701000000000079
W2,ID400,In zone(C1_prevO1 / Nose-point),4,438.49000000000007,109.62250000000002,119.91550000000002
W2,ID400,In zone(O1_prevC1 / Nose-point),4,7.8029999999998125,1.9507499999999531,2.061
W2,ID400,In zone(C2_prevO2 / Nose-point),5,196.84800000000837,39.369600000001675,51.616000000000014
W2,ID400,In zone(O2_prevC2 / Nose-point),3,8.243000000000016,2.7476666666666723,3.0610000000000355
W2,ID400,In zone(NeutralZone / Nose-point),2,2.6200000000004593,1.3100000000002296,1.3100000000002296
W2,ID376,In zone(C2_prevO2 / Nose-point),17,241.9730000000006,14.233705882352977,11.464000000000055
W2,ID376,In zone(O1_prevC1 / Nose-point),10,27.669000000000185,2.7669000000000183,2.8710000000000093
W2,ID376,In zone(O2_prevC2 / Nose-point),15,55.03899999999986,3.6692666666666574,2.8810000000000002
W2,ID376,In zone(C1_prevO1 / Nose-point),18,214.18300000000013,11.899055555555563,8.78249999999997
W2,ID376,In zone(NeutralZone / Nose-point),11,48.473999999999776,4.406727272727252,2.6809999999999263
W2,ID376,In zone(O1_round / Nose-point),3,5.420999999999793,1.806999999999931,1.4809999999998809
W2,ID372,In zone(NeutralZone / Nose-point),10,26.707000000000008,2.670700000000001,2.630499999999997
W2,ID372,In zone(O1_prevC1 / Nose-point),3,13.065000000000033,4.355000000000011,3.2809999999999997
W2,ID372,In zone(C2_prevO2 / Nose-point),4,64.06000000000012,16.01500000000003,18.90600000000002
W2,ID372,In zone(O2_prevC2 / Nose-point),3,10.422999999999949,3.474333333333316,3.400999999999982
W2,ID372,In zone(C1_prevO1 / Nose-point),10,739.8350000000064,73.98350000000065,29.548500000000026
W2,ID374,In zone(C2_prevO2 / Nose-point),2,554.4060000000001,277.20300000000003,277.20300000000003
W2,ID374,In zone(NeutralZone / Nose-point),2,5.041999999999945,2.5209999999999724,2.5209999999999724
W2,ID374,In zone(C1_prevO1 / Nose-point),3,39.293000000000234,13.097666666666745,7.943000000000097
W2,ID374,In zone(O1_prevC1 / Nose-point),2,7.3019999999999925,3.6509999999999962,3.6509999999999962
W2,ID374,In zone(O2_prevC2 / Nose-point),1,1.8799999999999955,1.8799999999999955,1.8799999999999955
W2,ID429,In zone(C1_prevO1 / Nose-point),10,395.2150000000032,39.52150000000032,16.67450000000001
W2,ID429,In zone(NeutralZone / Nose-point),7,13.903000000000496,1.986142857142928,1.3999999999999915
W2,ID429,In zone(O1_prevC1 / Nose-point),6,17.704999999999707,2.9508333333332843,3.110999999999997
W2,ID429,In zone(C2_prevO2 / Nose-point),7,166.07,23.724285714285713,18.086000000000013
W2,ID429,In zone(O2_prevC2 / Nose-point),4,7.482999999999919,1.8707499999999797,1.52049999999997
W2,ID429,In zone(O1_round / Nose-point),3,6.522000000000389,2.1740000000001296,2.1410000000001332
W2,ID423,In zone(C2_prevO2 / Nose-point),11,373.2210000000073,33.92918181818248,16.62000000000353
W2,ID423,In zone(C1_prevO1 / Nose-point),10,212.3030000000001,21.23030000000001,15.354499999999987
W2,ID423,In zone(O1_prevC1 / Nose-point),2,7.402000000000007,3.7010000000000036,3.7010000000000036
W2,ID423,In zone(NeutralZone / Nose-point),2,2.2420000000000115,1.1210000000000058,1.1210000000000058
W2,ID423,In zone(O2_prevC2 / Nose-point),5,18.726000000000113,3.7452000000000227,3.120999999999924
W3,ID376,In zone(C2_prevO2 / Nose-point),17,242.0530000000005,14.238411764705912,11.464000000000055
W3,ID376,In zone(O1_prevC1 / Nose-point),9,25.248000000000083,2.8053333333333423,2.520999999999958
W3,ID376,In zone(O2_prevC2 / Nose-point),16,57.53899999999976,3.596187499999985,2.9909999999999712
W3,ID376,In zone(C1_prevO1 / Nose-point),18,214.64299999999986,11.924611111111103,8.612000000000023
W3,ID376,In zone(NeutralZone / Nose-point),11,42.27200000000008,3.8429090909090977,1.900000000000034
W3,ID376,In zone(O1_round / Nose-point),2,4.300999999999931,2.1504999999999654,2.1504999999999654
W3,ID372,In zone(C1_prevO1 / Nose-point),11,739.476000000006,67.22509090909146,8.041999999999987
W3,ID372,In zone(NeutralZone / Nose-point),11,28.466999999999985,2.5879090909090894,2.461
W3,ID372,In zone(O1_prevC1 / Nose-point),3,13.164000000000392,4.3880000000001305,3.2809999999999997
W3,ID372,In zone(C2_prevO2 / Nose-point),4,63.88000000000007,15.970000000000017,18.90600000000002
W3,ID372,In zone(O2_prevC2 / Nose-point),3,10.242999999999963,3.414333333333321,3.2609999999999957
W3,ID374,In zone(C2_prevO2 / Nose-point),2,554.287,277.1435,277.1435
W3,ID374,In zone(NeutralZone / Nose-point),2,5.100999999999971,2.5504999999999853,2.5504999999999853
W3,ID374,In zone(C1_prevO1 / Nose-point),3,39.53299999999999,13.177666666666662,8.08299999999997
W3,ID374,In zone(O1_prevC1 / Nose-point),2,7.301999999999964,3.650999999999982,3.650999999999982
W3,ID374,In zone(O2_prevC2 / Nose-point),1,1.9800000000000182,1.9800000000000182,1.9800000000000182
W3,ID429,In zone(C1_prevO1 / Nose-point),10,396.15500000000367,39.61550000000037,16.564500000000002
W3,ID429,In zone(NeutralZone / Nose-point),5,11.223000000000148,2.2446000000000295,1.3009999999999877
W3,ID429,In zone(O1_prevC1 / Nose-point),6,19.70500000000006,3.2841666666666764,3.3209999999999926
W3,ID429,In zone(C2_prevO2 / Nose-point),7,165.84999999999977,23.69285714285711,18.04599999999988
W3,ID429,In zone(O2_prevC2 / Nose-point),3,5.542999999999807,1.8476666666666024,1.7210000000000036
W3,ID429,In zone(O1_round / Nose-point),2,5.001999999999782,2.500999999999891,2.500999999999891
W3,ID423,In zone(C2_prevO2 / Nose-point),11,373.56200000000723,33.96018181818248,16.62000000000353
W3,ID423,In zone(C1_prevO1 / Nose-point),10,211.4229999999999,21.142299999999988,15.234499999999983
W3,ID423,In zone(O1_prevC1 / Nose-point),3,8.66200000000002,2.88733333333334,3.060999999999999
W3,ID423,In zone(NeutralZone / Nose-point),2,2.4210000000000917,1.2105000000000459,1.2105000000000459
W3,ID423,In zone(O2_prevC2 / Nose-point),4,16.545999999999907,4.136499999999977,4.171499999999952
W3,ID463,In zone(C1_prevO1 / Nose-point),12,316.4100000000026,26.367500000000216,18.465000000000018
W3,ID463,In zone(NeutralZone / Nose-point),18,140.94200000000015,7.830111111111119,6.071500000000071
W3,ID463,In zone(O1_prevC1 / Nose-point),2,4.6410000000000196,2.3205000000000098,2.3205000000000098
W3,ID463,In zone(C2_prevO2 / Nose-point),6,111.91300000000031,18.65216666666672,18.18550000000002
W3,ID463,In zone(O2_prevC2 / Nose-point),8,31.570999999999742,3.9463749999999678,3.1710000000000207
W3,ID459,In zone(O1_prevC1 / Nose-point),20,56.81300000000015,2.8406500000000077,2.3799999999999386
W3,ID459,In zone(C1_prevO1 / Nose-point),19,280.56400000000053,14.766526315789502,8.28300000000013
W3,ID459,In zone(O2_prevC2 / Nose-point),13,39.00899999999946,3.0006923076922662,2.300999999999874
W3,ID459,In zone(C2_prevO2 / Nose-point),15,174.21400000000023,11.614266666666682,9.802999999999969
W3,ID459,In zone(O2_round / Nose-point),4,9.763000000000012,2.440750000000003,2.400499999999994
W3,ID459,In zone(NeutralZone / Nose-point),8,12.045999999999765,1.5057499999999706,1.630999999999915
W3,ID459,In zone(O1_round / Nose-point),3,5.44299999999987,1.81433333333329,1.600999999999999
W3,ID398,In zone(C2_prevO2 / Nose-point),10,327.6710000000055,32.76710000000055,24.504000000002748
W3,ID398,In zone(O1_round / Nose-point),1,4.8809999999999985,4.8809999999999985,4.8809999999999985
W3,ID398,In zone(C1_prevO1 / Nose-point),11,229.57100000000008,20.870090909090916,16.045000000000005
W3,ID398,In zone(NeutralZone / Nose-point),5,9.461000000000123,1.8922000000000245,1.660000000000025
W3,ID398,In zone(O2_prevC2 / Nose-point),9,26.34999999999988,2.9277777777777647,2.241000000000014
W3,ID398,In zone(O1_prevC1 / Nose-point),5,12.743000000000222,2.5486000000000444,2.1810000000000116
W3,ID398,In zone(O2_round / Nose-point),1,3.2010000000001355,3.2010000000001355,3.2010000000001355
W3,ID400,In zone(O2_prevC2 / Nose-point),5,9.723999999999847,1.9447999999999694,1.860999999999997
W3,ID400,In zone(C1_prevO1 / Nose-point),7,321.1960000000001,45.88514285714287,3.9210000000000065
W3,ID400,In zone(NeutralZone / Nose-point),9,23.92700000000008,2.6585555555555644,2.7010000000001355
W3,ID400,In zone(O1_prevC1 / Nose-point),2,5.36099999999994,2.68049999999997,2.68049999999997
W3,ID400,In zone(C2_prevO2 / Nose-point),6,286.63500000000914,47.77250000000152,48.191500000002264
