mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,-0.8348333167070249,3
450,NE,,Preinduction,3.428911659101203,6
597,NE,,Preinduction,0.9645556986503819,2
376,NE,,Preinduction,1.3655920135019743,1
372,NE,,Preinduction,2.4782151983596745,5
423,NE,,Preinduction,0.8600422215315604,5
459,NE,,Preinduction,7.900776724225423,2
398,NE,,Preinduction,0.7541174400163213,4
376,NE,,W1,1.121526324559496,6
372,NE,,W1,2.046662877056269,1
423,NE,,W1,1.140872944159429,2
450,NE,,W1,5.794805870462235,3
597,NE,,W1,3.7483734288532573,1
459,NE,,W1,3.4582294054073874,3
398,NE,,W1,3.1127818143645385,2
459,NE,,W2,1.3566900378958953,2
398,NE,,W2,3.0694587017163393,3
400,NE,,W2,3.9678457559199805,2
376,NE,,W2,0.17730873049612683,9
372,NE,,W2,1.167171817948536,2
423,NE,,W2,-0.14620482310298036,1
584,NE,,W2,-1.8729139513593174,1
597,NE,,W2,1.584120138922809,2
450,NE,,W2,1.3078409876237171,8
