mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,2.7432549086822804,3
450,NE,,Preinduction,1.0086322158645393,5
597,NE,,Preinduction,1.1303700664164937,2
376,NE,,Preinduction,0.6837179349344704,1
372,NE,,Preinduction,1.643088018754452,5
423,NE,,Preinduction,0.4783279578113269,4
459,NE,,Preinduction,1.4182234321528342,2
398,NE,,Preinduction,1.0763581079287547,3
376,NE,,W1,0.3255037835568999,6
372,NE,,W1,0.26770841172100146,1
423,NE,,W1,0.6489737281139116,2
450,NE,,W1,-0.6185481354107091,3
597,NE,,W1,-1.0246841472404649,1
459,NE,,W1,1.3324867505642215,2
398,NE,,W1,1.208421243513575,2
459,NE,,W2,0.975135696785453,2
398,NE,,W2,2.449811459798448,2
400,NE,,W2,-0.06940240940451622,2
376,NE,,W2,-0.14458189989843728,9
372,NE,,W2,0.8023507048705999,2
423,NE,,W2,1.3266623256121932,1
584,NE,,W2,-0.8363051648063062,1
597,NE,,W2,0.393591656668347,2
450,NE,,W2,0.4564511651061178,7
