"trial_type","timepoint","n_mice","mean_peaks","sd_peaks","sem_peaks","median_peaks","mean_duration_s"
"Hab","Preinduction",3,85.3333333333333,5.77350269189626,3.33333333333333,82,299.853770666667
"Hab","W1",3,90.6666666666667,11.9303534454489,6.88799277325727,87,299.840277333333
"Hab","W2",3,94.3333333333333,16.2583311976763,9.38675189355248,91,299.866965333333
"Social","Preinduction",12,86.3333333333333,10.6201637834771,3.06577720961421,87.5,299.856629333334
"Social","W1",12,86.8333333333333,8.98314920821032,2.5932118067654,87.5,299.853432
"Social","W2",12,83.75,12.5272430399437,3.61630357065768,81.5,299.853544
"Novel","Preinduction",12,87.5,10.5872994238809,3.05629008618441,86.5,299.853301333333
"Novel","W1",12,81,10.1174916043274,2.92066825064112,78,299.843330666667
"Novel","W2",12,91.1666666666667,11.3364523337397,3.27255190326998,89.5,299.850256
