"trial_type","timepoint","rate","SE","df","asymp.LCL","asymp.UCL"
"Hab","Preinduction",34.7844357795948,6.28071078571743,Inf,24.4169381783288,49.5540007378423
"Hab","W1",32.5309493558077,5.93116125180063,Inf,22.7563481707364,46.5040637474075
"Hab","W2",44.7669572057498,7.82387258763586,Inf,31.7829354205179,63.0552348593852
"Social","Preinduction",34.6875963710666,2.47561774225433,Inf,30.1595485617991,39.895469242072
"Social","W1",34.6881833118154,2.47565645359576,Inf,30.1600643001979,39.8961371400728
"Social","W2",32.9659475954273,2.38101543165029,Inf,28.614505486461,37.9791187158086
"Novel","Preinduction",34.2058860891988,2.52286789648355,Inf,29.6019388791482,39.5258786231543
"Novel","W1",33.7980103822524,2.49939068857317,Inf,29.2377588821383,39.0695302743156
"Novel","W2",36.9885501776412,2.68273507345746,Inf,32.087115996492,42.6386978622029
