mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,mean_absolute_deviation,threshold_z,n_social_bouts
450,NE,Preinduction__ID450_NE__3CT_FP16_3__3CT_Preinduction_C3_check_arena_settings-Trial____18,Hab,Preinduction,Social_interaction,9.440000000000005,4,0.4237288135593218,25.423728813559308,1.5206867207029664,1.4857081454980803,0.772208453391117,1.1583126800866754,5
450,NE,W1__ID450_NE__3CT_FP19_3__3CT_W1_C3-Trial____23,Hab,W1,Social_interaction,6.179999999999989,0,0.0,0.0,,,0.7683493624979196,1.1525240437468796,8
450,NE,W2__ID450_NE__3CT_FP15_3__3CT_W2_C3-Trial____17,Hab,W2,Social_interaction,18.140000000000136,7,0.38588754134509085,23.15325248070545,1.9215205762080907,1.6296660638837854,0.8056361967260592,1.2084542950890889,13
584,NE,Preinduction__ID584_NE__3CT_FP13_3__3CT_Preinduction_C3_check_arena_settings-Trial____15,Hab,Preinduction,Social_interaction,15.059999999999981,12,0.796812749003985,47.8087649402391,2.48870066359115,2.0894716614146134,0.7760288033279787,1.1640432049919682,4
584,NE,W1__ID584_NE__3CT_FP12_3__3CT_W1_C3-Trial____15,Hab,W1,Social_interaction,56.50000000000004,23,0.4070796460176988,24.42477876106193,1.964341336795234,1.8007229001384255,0.7899644511175752,1.1849466766763628,8
584,NE,W2__ID584_NE__3CT_FP12_3__3CT_W2_C3-Trial____14,Hab,W2,Social_interaction,49.679999999999986,24,0.4830917874396137,28.98550724637682,2.1381624363693206,1.841170936874743,0.7807124685944027,1.171068702891604,10
597,NE,Preinduction__ID597_NE__3CT_FP26_3__3CT_Preinduction_C3_check_arena_settings-Trial____28,Hab,Preinduction,Social_interaction,31.84000000000004,24,0.7537688442211046,45.226130653266274,2.091649379447424,1.8074816277871175,0.7733797255917805,1.1600695883876706,6
597,NE,W1__ID597_NE__3CT_FP29_3__3CT_W1_C3-Trial____34,Hab,W1,Social_interaction,66.03999999999999,26,0.3937007874015748,23.62204724409449,1.9871294335244907,1.6885855239451448,0.7670834392912786,1.150625158936918,16
597,NE,W2__ID597_NE__3CT_FP24_3__3CT_W2_C3-Trial____26,Hab,W2,Social_interaction,18.02000000000001,11,0.6104328523862371,36.625971143174226,2.131185690636616,1.8292633042095685,0.7549061645818114,1.132359246872717,8
372,NE,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,Novel,Preinduction,Social_interaction,25.93999999999999,17,0.6553585196607559,39.321511179645356,2.708623320411344,2.330276068974358,0.7605407668067224,1.1408111502100837,5
372,NE,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,Novel,W1,Social_interaction,12.584000000000032,1,0.07946598855689745,4.767959313413847,1.7778065866999164,1.7778065866999164,0.7045566101806509,1.0568349152709762,3
372,NE,W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,Novel,W2,Social_interaction,2.0800000000000125,2,0.9615384615384558,57.692307692307345,3.5981373050691348,3.5981373050691348,0.7583183927659494,1.137477589148924,2
374,WT,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,Novel,Preinduction,Social_interaction,10.860000000000028,3,0.27624309392265123,16.574585635359075,2.6306892157049937,2.6719958063080917,0.7545071021916155,1.1317606532874234,5
374,WT,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,Novel,W1,Social_interaction,9.544000000000011,3,0.31433361274098875,18.860016764459324,2.1804236900165184,1.4888162819403281,0.7238777303726821,1.085816595559023,2
374,WT,W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,Novel,W2,Social_interaction,19.72,14,0.7099391480730224,42.59634888438134,2.3190440375641925,1.9954973024337743,0.7267357364844886,1.090103604726733,6
376,NE,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,Novel,Preinduction,Social_interaction,16.200000000000014,14,0.8641975308641968,51.85185185185181,3.064485120583786,1.976933574471265,0.7124421463483968,1.0686632195225951,7
376,NE,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,Novel,W1,Social_interaction,10.282999999999987,6,0.5834873091510266,35.0092385490616,3.251932847476748,2.9223298211222577,0.7114413520909614,1.067162028136442,3
376,NE,W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,Novel,W2,Social_interaction,46.45999999999995,25,0.538097287989669,32.28583727938015,2.2898100470019704,1.8859134803479911,0.7326432968971018,1.0989649453456527,13
398,NE,Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,Novel,Preinduction,Social_interaction,2.040999999999997,3,1.4698677119059307,88.19206271435584,2.870585170098625,3.216206453126319,0.7763276829247048,1.1644915243870573,1
398,NE,W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,Novel,W1,Social_interaction,35.120000000000005,23,0.6548974943052391,39.29384965831435,2.7087731011779086,2.854706304256245,0.7576147946048171,1.1364221919072257,6
398,NE,W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,Novel,W2,Social_interaction,31.179999999999993,13,0.41693393200769735,25.016035920461842,2.3876002442692514,2.4918550225389637,0.771931796181187,1.1578976942717805,3
400,NE,Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,Novel,Preinduction,Social_interaction,50.055999999999976,3,0.05993287517979865,3.5959725107879192,1.525384235026482,1.6391495061852182,0.7989373754674625,1.1984060632011937,6
400,NE,W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,Novel,W1,Social_interaction,40.53999999999999,11,0.27133695115934886,16.280217069560933,1.9728202610053882,1.837260122021703,0.7994542689264078,1.1991814033896118,2
