method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,trial_mean_z,mean_absolute_deviation,MAD_multiplier,threshold_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,21,51.55993600000011,1.2449038164414108,0.0,0.7116199755357224,1.5,1.0674299633035838,True,3.0,0.7799360000001059,-0.40006399999989384
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,22,52.879935999999816,1.576087697946001,0.0,0.7116199755357224,1.5,1.0674299633035838,False,,,
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,23,57.759935999999925,4.0864355370238705,0.0,0.7116199755357224,1.5,1.0674299633035838,True,4.0,0.1599359999999237,-7.280064000000081
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,24,58.359935999999834,4.237367416550357,0.0,0.7116199755357224,1.5,1.0674299633035838,True,4.0,0.7599359999998327,-6.680064000000172
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,25,58.91993599999978,1.5598575841413844,0.0,0.7116199755357224,1.5,1.0674299633035838,True,4.0,1.3199359999997782,-6.120064000000227
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,26,59.479935999999725,3.577748756992266,0.0,0.7116199755357224,1.5,1.0674299633035838,True,4.0,1.8799359999997236,-5.560064000000281
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,27,64.71993599999996,1.5036715785373804,0.0,0.7116199755357224,1.5,1.0674299633035838,True,4.0,7.11993599999996,-0.32006400000004476
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,28,67.71993599999996,1.4265971846393235,0.0,0.7116199755357224,1.5,1.0674299633035838,False,,,
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,29,70.83993599999985,1.475131691645482,0.0,0.7116199755357224,1.5,1.0674299633035838,False,,,
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,30,85.63990400000012,2.2844106201996737,0.0,0.7116199755357224,1.5,1.0674299633035838,False,,,
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,31,92.71990400000004,4.449393491789067,0.0,0.7116199755357224,1.5,1.0674299633035838,True,5.0,2.5999040000000377,-7.020095999999953
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,32,94.1599040000001,2.1712869171552325,0.0,0.7116199755357224,1.5,1.0674299633035838,True,5.0,4.039904000000092,-5.580095999999898
