method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,n_social_bouts
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,Entire_trial,299.87984000000006,92,0.30678954610620035,18.40737276637202,1.9989379423336897,1.5679726410436927,0.0,0.7116199755357224,1.0674299633035838,11
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,Social_interaction,81.82000000000002,42,0.5133219261794181,30.799315570765085,2.3551601623610137,1.8766264257041518,0.0,0.7116199755357224,1.0674299633035838,11
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,Entire_trial,299.8397439999999,89,0.29682522674512435,17.809513604707462,2.0481908566746942,1.5979815063813032,-2.0850927286544222e-17,0.7124421463483968,1.0686632195225951,7
whole_trial_mean_MAD,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,Social_interaction,16.200000000000014,14,0.8641975308641968,51.85185185185181,3.064485120583786,1.976933574471265,-2.0850927286544222e-17,0.7124421463483968,1.0686632195225951,7
whole_trial_mean_MAD,Preinduction__ID372_NE__3CT_FP_2_1__3CT_Preinduction-Trial_____8,372,NE,Social,Preinduction,Entire_trial,299.83971199999996,85,0.2834847973706699,17.009087842240195,2.215003343066546,1.9637921192523764,2.179869670865987e-17,0.7783003212318976,1.1674504818478464,3
whole_trial_mean_MAD,Preinduction__ID372_NE__3CT_FP_2_1__3CT_Preinduction-Trial_____8,372,NE,Social,Preinduction,Social_interaction,21.059999999999974,9,0.4273504273504279,25.641025641025674,3.666475605609914,3.67640022791685,2.179869670865987e-17,0.7783003212318976,1.1674504818478464,3
whole_trial_mean_MAD,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,372,NE,Novel,Preinduction,Entire_trial,299.83968000000004,80,0.26680924952961527,16.008554971776917,1.9854597442032653,1.711971553566695,-1.1373233065387759e-17,0.7605407668067224,1.1408111502100837,5
whole_trial_mean_MAD,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,372,NE,Novel,Preinduction,Social_interaction,25.93999999999999,17,0.6553585196607559,39.321511179645356,2.708623320411344,2.330276068974358,-1.1373233065387759e-17,0.7605407668067224,1.1408111502100837,5
whole_trial_mean_MAD,Preinduction__ID374_WT__3CT_FP_5_1__3CT_Preinduction-Trial____11,374,WT,Social,Preinduction,Entire_trial,299.83967999999913,99,0.3301764462928999,19.81058677757399,2.05090844054011,1.67869427544966,-3.791077688462586e-17,0.7360923575041183,1.1041385362561775,9
whole_trial_mean_MAD,Preinduction__ID374_WT__3CT_FP_5_1__3CT_Preinduction-Trial____11,374,WT,Social,Preinduction,Social_interaction,72.47999999999996,25,0.3449227373068435,20.69536423841061,2.602137313693384,2.6354173201754176,-3.791077688462586e-17,0.7360923575041183,1.1041385362561775,9
whole_trial_mean_MAD,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,374,WT,Novel,Preinduction,Entire_trial,299.8795199999986,109,0.3634793066228748,21.80875839737249,2.196183348545401,2.0734651061090084,1.5162288306430518e-17,0.7545071021916155,1.1317606532874234,5
whole_trial_mean_MAD,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,374,WT,Novel,Preinduction,Social_interaction,10.860000000000028,3,0.27624309392265123,16.574585635359075,2.6306892157049937,2.6719958063080917,1.5162288306430518e-17,0.7545071021916155,1.1317606532874234,5
