"trial_type","timepoint","n_mice","mean_peaks","sd_peaks","sem_peaks","median_peaks","mean_duration_s"
"Hab","Preinduction",3,36,15.8745078663875,9.16515138991168,42,299.853770666667
"Hab","W1",3,33.6666666666667,14.6401275039985,8.45248155540398,36,299.840277333333
"Hab","W2",3,46.3333333333333,14.2945210949277,8.2529456020933,43,299.866965333333
"Social","Preinduction",12,35.25,9.43036681056565,2.7223124083185,31.5,299.856629333334
"Social","W1",12,35.25,8.36795836944277,2.41562150858268,34,299.853432
"Social","W2",12,33.5,8.59703965962068,2.48175158085794,34.5,299.853544
"Novel","Preinduction",12,34.8333333333333,9.34036531632592,2.69633121485511,33,299.853301333333
"Novel","W1",12,34.4166666666667,8.47947611303406,2.44781390822361,32,299.843330666667
"Novel","W2",12,37.6666666666667,9.90255553181127,2.85862155097823,35.5,299.850256
