mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts,trial_SD,threshold_z
450,NE,Preinduction__ID450_NE__3CT_FP16_3__3CT_Preinduction_C3_check_arena_settings-Trial____18,Hab,Preinduction,Entire_trial,299.88019200000053,18,0.06002397117312759,3.6014382703876553,2.2675505545484977,2.1116985781847655,5,0.9402526306906152,1.8805052613812303
450,NE,W1__ID450_NE__3CT_FP19_3__3CT_W1_C3-Trial____23,Hab,W1,Entire_trial,299.8407360000001,18,0.0600318697189964,3.601912183139784,1.9968842375114915,1.939744849947906,8,0.8757881998804824,1.7515763997609648
450,NE,W2__ID450_NE__3CT_FP15_3__3CT_W2_C3-Trial____17,Hab,W2,Entire_trial,299.8804479999999,43,0.14339047539371427,8.603428523622856,1.6973227575393957,1.520318470301944,13,0.6258072709856772,1.2516145419713545
584,NE,Preinduction__ID584_NE__3CT_FP13_3__3CT_Preinduction_C3_check_arena_settings-Trial____15,Hab,Preinduction,Entire_trial,299.84031999999934,48,0.16008520802005582,9.60511248120335,2.5524510194601433,2.3934360895572335,4,0.8728693674432908,1.7457387348865816
584,NE,W1__ID584_NE__3CT_FP12_3__3CT_W1_C3-Trial____15,Hab,W1,Entire_trial,299.8402239999996,47,0.15675014970639853,9.405008982383912,2.488736060731214,2.255223379864921,8,0.8840653218576864,1.7681306437153728
584,NE,W2__ID584_NE__3CT_FP12_3__3CT_W2_C3-Trial____14,Hab,W2,Entire_trial,299.8402560000013,62,0.20677677116177398,12.406606269706439,2.683143136814287,2.6051242622833737,10,0.9922507762994653,1.9845015525989307
597,NE,Preinduction__ID597_NE__3CT_FP26_3__3CT_Preinduction_C3_check_arena_settings-Trial____28,Hab,Preinduction,Entire_trial,299.84080000000176,42,0.1400743327792607,8.404459966755642,2.5880959821133707,2.397589666909727,6,0.9077070296394366,1.8154140592788732
597,NE,W1__ID597_NE__3CT_FP29_3__3CT_W1_C3-Trial____34,Hab,W1,Entire_trial,299.83987200000047,36,0.12006408540622623,7.203845124373574,1.8696848950729776,1.5801733652876813,16,0.6063902605770272,1.2127805211540543
597,NE,W2__ID597_NE__3CT_FP24_3__3CT_W2_C3-Trial____26,Hab,W2,Entire_trial,299.8801919999969,34,0.11337861221590906,6.8027167329545435,2.7327877756373398,2.4725236403610404,8,0.9751571082434394,1.9503142164868787
372,NE,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,Novel,Preinduction,Entire_trial,299.83968000000004,25,0.08337789047800477,5.0026734286802865,2.7927392934764894,2.4786456684694795,5,0.9606800497268806,1.9213600994537612
372,NE,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,Novel,W1,Entire_trial,299.8397440000008,27,0.0900481024957116,5.402886149742696,3.269016375669381,2.5607707288080443,3,0.9854969270015328,1.9709938540030656
372,NE,W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,Novel,W2,Entire_trial,299.8801279999998,37,0.12338263374357379,7.402958024614428,2.80762601964409,2.3898549821678237,2,0.9538045488226591,1.9076090976453182
374,WT,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,Novel,Preinduction,Entire_trial,299.8795199999986,56,0.1867416621181742,11.204499727090452,2.665006197630023,2.4687551004122255,5,0.96902984213196,1.93805968426392
374,WT,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,Novel,W1,Entire_trial,299.84003200000006,44,0.1467449149685256,8.804694898111535,3.0046880461587064,2.6262125863312162,2,0.9898588560628124,1.9797177121256249
374,WT,W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,Novel,W2,Entire_trial,299.88003200000094,38,0.12671734008618446,7.603040405171067,3.0311700311421435,2.7199037092206657,6,0.9537072262061942,1.9074144524123884
376,NE,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,Novel,Preinduction,Entire_trial,299.8397439999999,35,0.11672902175370058,7.003741305222035,2.7793077371304458,2.3776877151859743,7,0.9652525621404914,1.9305051242809828
