"trial_type","dispersion_ratio","dispersion_p","singular_fit"
"Hab",0.361709371074847,0.903392956312913,FALSE
"Social",0.763721635292438,0.832465781525345,FALSE
"Novel",0.427273719775846,0.998357330484528,FALSE
