method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
mean_MAD,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,372,NE,Novel,Preinduction,Interaction,31.040000000000006,6,0.1932989690721649,11.597938144329895,2.8304033659850862,2.00786508634547,-1.1373233065387759e-17,0.7605407668067224,1.521081533613445,299.83968000000004,31.040000000000006,268.79968,9
mean_MAD,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,372,NE,Novel,W1,Interaction,102.91599999999997,35,0.3400831746278519,20.404990477671117,2.8265758327277046,2.370839395342545,3.791077688462586e-18,0.7045566101806509,1.4091132203613017,299.8397440000008,102.91599999999997,196.92374400000082,9
mean_MAD,W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,372,NE,Novel,W2,Interaction,71.02000000000001,15,0.211208110391439,12.67248662348634,2.343419092179692,2.135830056637901,7.581144153215259e-18,0.7583183927659494,1.5166367855318987,299.8801279999998,71.02000000000001,228.86012799999978,9
mean_MAD,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,374,WT,Novel,Preinduction,Interaction,38.38000000000001,16,0.41688379364252204,25.013027618551323,2.946182577306168,2.8190198102264703,1.5162288306430518e-17,0.7545071021916155,1.509014204383231,299.8795199999986,38.38000000000001,261.4995199999986,6
mean_MAD,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,374,WT,Novel,W1,Interaction,73.72299999999987,36,0.488314365937361,29.29886195624166,2.8774770201950854,2.6960760877555785,-1.7059849598081636e-17,0.7238777303726821,1.4477554607453642,299.84003200000006,73.72299999999987,226.1170320000002,11
mean_MAD,W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,374,WT,Novel,W2,Interaction,23.079999999999966,13,0.5632582322357027,33.795493934142165,3.545309866066385,3.424429097735295,-3.790572076607629e-18,0.7267357364844886,1.4534714729689773,299.88003200000094,23.079999999999966,276.80003200000095,5
mean_MAD,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,Interaction,30.700000000000024,4,0.1302931596091204,7.817589576547225,1.8570051959394367,1.6290487711392427,-2.0850927286544222e-17,0.7124421463483968,1.4248842926967935,299.8397439999999,30.700000000000024,269.13974399999984,5
mean_MAD,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,376,NE,Novel,W1,Interaction,57.71799999999999,27,0.46779167677327704,28.06750060639662,3.0249779648589263,2.8562164637103455,-1.5164310753850343e-17,0.7114413520909614,1.4228827041819228,299.8394880000001,57.71799999999999,242.12148800000008,8
mean_MAD,W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,376,NE,Novel,W2,Interaction,28.34000000000003,9,0.31757233592095946,19.054340155257567,2.8846868048785868,2.929041858567317,1.5164310753850343e-17,0.7326432968971018,1.4652865937942037,299.84019199999966,28.34000000000003,271.50019199999963,9
mean_MAD,Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,398,NE,Novel,Preinduction,Interaction,16.645999999999987,13,0.7809684008170137,46.858104049020824,3.0593515514746086,2.8477098377706525,0.0,0.7763276829247048,1.5526553658494096,299.84003200000006,16.645999999999987,283.1940320000001,1
