mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,1.228380967691466,10
590,NE,,Preinduction,2.9282213453347268,9
566,NE,,Preinduction,2.60675419207023,8
580,NE,,Preinduction,0.7353215970843523,10
533,NE,,Preinduction,1.3883393799697592,11
541,NE,,Preinduction,4.5583408512536545,6
588,NE,,W1,3.7279831249855273,4
590,NE,,W1,4.526129849328246,1
566,NE,,W1,6.583247209960565,3
580,NE,,W1,3.4190934841250473,2
533,NE,,W1,4.358167215936563,3
541,NE,,W1,11.106044406495535,2
588,NE,,W2,0.9441554207925306,13
566,NE,,W2,5.310277314759988,5
580,NE,,W2,1.4611480915998343,7
533,NE,,W2,4.12127678315276,11
541,NE,,W2,2.995543278447335,4
590,NE,,W2,2.9182212513010306,3
