mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,-0.6737489789122963,10
590,NE,,Preinduction,-0.3888345905863457,9
566,NE,,Preinduction,-0.9936074629344598,9
580,NE,,Preinduction,0.09110079081707316,10
533,NE,,Preinduction,-0.1037716367218347,12
541,NE,,Preinduction,2.4196115085112986,6
588,NE,,W1,-1.2912871593284134,5
590,NE,,W1,1.9401315514797897,1
566,NE,,W1,-3.0112687947808254,3
580,NE,,W1,0.1705587179829724,3
533,NE,,W1,-0.3556567482340717,4
541,NE,,W1,0.22440564254893058,2
588,NE,,W2,-0.4995108914049142,14
566,NE,,W2,-1.996828263345563,5
533,NE,,W2,-0.16858748932626924,12
541,NE,,W2,-2.9852229330746725,4
590,NE,,W2,-0.28365702370110984,3
