mouse_id,genotype,condition,week,behavior,pre_mean_dFF,post_mean_dFF
376,NE,Social,Preinduction,Novel_interaction,-0.9201431289278018,-0.7652121762738607
376,NE,Social,Preinduction,Social_interaction,-0.062183504964333836,1.4235088678357355
376,NE,Novel,Preinduction,Novel_interaction,-0.4325382492729883,-0.42046720456943004
376,NE,Novel,Preinduction,Social_interaction,0.20014747033250938,1.2665233881895033
372,NE,Social,Preinduction,Novel_interaction,0.042283187194468844,1.0823423676909247
372,NE,Social,Preinduction,Social_interaction,-1.1982698336177908,0.7628541244023154
372,NE,Novel,Preinduction,Novel_interaction,-0.5928369182271502,0.18376687706439554
372,NE,Novel,Preinduction,Social_interaction,1.2678680155839683,2.2077442181206304
374,WT,Social,Preinduction,Novel_interaction,-0.7397993280875039,0.06137108024910842
374,WT,Social,Preinduction,Social_interaction,-0.4512965397442785,0.929472526138353
374,WT,Novel,Preinduction,Novel_interaction,0.06484692436762673,1.2173396908645384
374,WT,Novel,Preinduction,Social_interaction,-0.19529695219437188,-0.3513277882267255
429,WT,Social,Preinduction,Novel_interaction,-0.3594234532545872,0.3018660760635576
429,WT,Social,Preinduction,Social_interaction,-0.2953263097950382,0.6153363688917506
429,WT,Novel,Preinduction,Novel_interaction,-0.3375215062061893,-0.027453884457225082
429,WT,Novel,Preinduction,Social_interaction,0.13116727195722647,0.34170776086961596
423,NE,Social,Preinduction,Novel_interaction,-0.2927132382436524,0.3980045743305012
423,NE,Social,Preinduction,Social_interaction,-0.4184885472695411,0.8932106996160708
423,NE,Novel,Preinduction,Social_interaction,0.0730658073560645,1.3200816484489257
463,WT,Social,Preinduction,Novel_interaction,0.2329582121017352,4.266735406199159
463,WT,Social,Preinduction,Social_interaction,0.9086022991243305,4.669333645543903
463,WT,Novel,Preinduction,Novel_interaction,0.5023317000250751,7.056399617654901
463,WT,Novel,Preinduction,Social_interaction,0.2684111218534401,3.351223057277237
459,NE,Social,Preinduction,Novel_interaction,0.39898765816114995,1.4139303712000397
459,NE,Social,Preinduction,Social_interaction,0.24577984314770054,0.9974959254684627
459,NE,Novel,Preinduction,Novel_interaction,-0.1637867997045729,2.401016598481134
459,NE,Novel,Preinduction,Social_interaction,0.6016464561792,1.054799332371161
398,NE,Social,Preinduction,Social_interaction,0.21536380992563814,1.3207849410441053
398,NE,Novel,Preinduction,Novel_interaction,1.4902988772055972,2.9843579709931958
398,NE,Novel,Preinduction,Social_interaction,1.6532427287679814,2.637680310738621
400,NE,Social,Preinduction,Novel_interaction,1.2724786788800593,1.3317654793140987
400,NE,Social,Preinduction,Social_interaction,-0.2758635935194012,0.21851824717988289
400,NE,Novel,Preinduction,Novel_interaction,0.5219174086991909,0.6308495591287422
400,NE,Novel,Preinduction,Social_interaction,0.4710853259466511,0.45472186002613435
376,NE,Social,W1,Novel_interaction,-0.6526860287448891,0.4588000343482933
376,NE,Social,W1,Social_interaction,-0.03524618331086724,1.7380268873814038
376,NE,Novel,W1,Novel_interaction,0.21953883082218942,1.6448351079363743
376,NE,Novel,W1,Social_interaction,0.7910663510815558,1.1886178192498418
372,NE,Social,W1,Novel_interaction,2.5562517892975007,2.6958103313190667
372,NE,Social,W1,Social_interaction,0.44046836538110096,2.733094177980026
372,NE,Novel,W1,Novel_interaction,0.14802420685856937,3.383533226166514
372,NE,Novel,W1,Social_interaction,0.34357865440921165,0.4227683924924646
374,WT,Social,W1,Novel_interaction,-0.02366238287380373,0.019768656939595397
374,WT,Social,W1,Social_interaction,0.40612418044952153,0.8368353704915016
374,WT,Novel,W1,Novel_interaction,0.18720348864770237,0.9002748327067034
374,WT,Novel,W1,Social_interaction,0.3511040011068902,1.3502212374627702
429,WT,Social,W1,Novel_interaction,0.5982787782205946,1.0657416724920477
429,WT,Social,W1,Social_interaction,0.21474381702659082,1.6108391236506698
429,WT,Novel,W1,Novel_interaction,0.297591303197362,2.324377747417485
429,WT,Novel,W1,Social_interaction,0.5263043635291815,0.7994753663854588
423,NE,Social,W1,Novel_interaction,-1.0611907495890391,1.2283963775138227
423,NE,Social,W1,Social_interaction,0.5529847058188389,3.3563201142555124
423,NE,Novel,W1,Novel_interaction,-0.38523481362852036,2.7167286900087313
423,NE,Novel,W1,Social_interaction,0.9512111463182231,2.131215666587882
463,WT,Social,W1,Novel_interaction,0.28477877290174236,1.7303362904199364
463,WT,Social,W1,Social_interaction,-0.8042501726730283,4.956875060588228
463,WT,Novel,W1,Novel_interaction,1.9657336562140326,3.4776842547158027
463,WT,Novel,W1,Social_interaction,-1.8351898963783668,1.9911924137820116
459,NE,Social,W1,Novel_interaction,-0.1458966160425441,0.7585132103923562
459,NE,Social,W1,Social_interaction,0.756032196203715,2.0202073627330046
459,NE,Novel,W1,Novel_interaction,-0.09533770309857598,0.8285611107667812
459,NE,Novel,W1,Social_interaction,-0.06270049081689238,0.47503556500497096
398,NE,Social,W1,Novel_interaction,1.2128979068009331,1.091105365037068
398,NE,Social,W1,Social_interaction,0.19373711986829012,2.2262221432073543
398,NE,Novel,W1,Novel_interaction,0.3340433101951242,1.0105586439704044
398,NE,Novel,W1,Social_interaction,-0.21003461755535335,1.788451379535265
400,NE,Social,W1,Novel_interaction,2.1411875153710884,2.5988924165923635
400,NE,Social,W1,Social_interaction,0.42106909971790635,0.7289952396510213
400,NE,Novel,W1,Novel_interaction,-0.04967819064654741,0.19820403116454896
400,NE,Novel,W1,Social_interaction,1.256165999497972,1.3406257454863866
376,NE,Social,W2,Novel_interaction,0.16843649950735093,0.4865917970990254
376,NE,Social,W2,Social_interaction,-0.14949798437376702,1.743032052562576
376,NE,Novel,W2,Novel_interaction,-0.5498818125345911,0.19146238314481304
376,NE,Novel,W2,Social_interaction,0.2625190256279209,0.9264376627863294
372,NE,Social,W2,Novel_interaction,0.27726154331028136,1.445774540970972
372,NE,Social,W2,Social_interaction,0.2848880465308812,2.8889235783249005
372,NE,Novel,W2,Novel_interaction,-0.1279927082948461,0.30062477628514495
372,NE,Novel,W2,Social_interaction,1.4504590029512703,3.1000441782654895
374,WT,Social,W2,Novel_interaction,-0.22569769201457568,0.09495617328687267
374,WT,Social,W2,Social_interaction,-0.05686713899597291,1.093094544924368
374,WT,Novel,W2,Novel_interaction,0.10591922051672573,2.9769175274787467
374,WT,Novel,W2,Social_interaction,0.007604910662052035,1.2284519686586195
429,WT,Social,W2,Novel_interaction,0.3412456967625153,0.2922200702021159
429,WT,Social,W2,Social_interaction,-0.04708949092009279,1.436166097427351
429,WT,Novel,W2,Novel_interaction,0.397744306100397,1.9546745660250942
429,WT,Novel,W2,Social_interaction,-0.06562099073057616,1.6238928911199701
423,NE,Social,W2,Novel_interaction,0.059611727961140344,0.8442770361720758
423,NE,Social,W2,Social_interaction,0.39697773190926544,1.3784044769966581
423,NE,Novel,W2,Novel_interaction,-0.03443789021938299,0.9165536010949794
423,NE,Novel,W2,Social_interaction,0.6236393845272804,0.9734258656275726
463,WT,Social,W2,Novel_interaction,0.6143257195856143,3.0261016809901364
463,WT,Social,W2,Social_interaction,0.44353149222254934,4.816293901461874
463,WT,Novel,W2,Novel_interaction,0.4079582588879895,-0.1625046495210761
463,WT,Novel,W2,Social_interaction,0.12919311995432584,1.378916950742802
459,NE,Social,W2,Novel_interaction,0.3263089711796517,0.36530391431838494
459,NE,Social,W2,Social_interaction,0.7750218296079759,1.2434673143425168
459,NE,Novel,W2,Novel_interaction,-0.07986738605744965,0.4546923619741337
459,NE,Novel,W2,Social_interaction,-0.08396432133675817,0.7794039464675844
398,NE,Social,W2,Novel_interaction,-0.09622510049698309,1.3332302120235906
398,NE,Social,W2,Social_interaction,-0.2439530854015269,1.4364006941021799
398,NE,Novel,W2,Novel_interaction,-0.3505098661128238,0.45152663662145637
398,NE,Novel,W2,Social_interaction,0.9488038360603396,2.464767151772684
400,NE,Social,W2,Novel_interaction,-0.7542828512536073,-0.12330044845936314
400,NE,Social,W2,Social_interaction,2.5797029150552757,2.5829433080604978
400,NE,Novel,W2,Novel_interaction,0.16956126968142468,0.06962835369917335
400,NE,Novel,W2,Social_interaction,-0.31422509436649054,-0.8188107309358582
463,WT,Social,W3,Novel_interaction,0.43960859193842666,2.826652930708823
463,WT,Social,W3,Social_interaction,0.955555735744046,4.5737155320949
463,WT,Novel,W3,Novel_interaction,1.5943514219470365,2.6666944955902956
463,WT,Novel,W3,Social_interaction,0.7809941028182085,2.3847683168810803
459,NE,Social,W3,Novel_interaction,1.3306966100530686,1.90281201669444
459,NE,Social,W3,Social_interaction,-0.5928154202036245,0.28952255823446205
398,NE,Social,W3,Novel_interaction,-0.4228531214847383,0.3003601700838994
398,NE,Social,W3,Social_interaction,0.1429784462146929,1.6235071291948908
398,NE,Novel,W3,Novel_interaction,-0.41538310202364087,0.42715037128898714
398,NE,Novel,W3,Social_interaction,-0.07705234096483735,0.7523202918108844
400,NE,Social,W3,Novel_interaction,0.11578429350312915,0.6908496342270226
400,NE,Social,W3,Social_interaction,0.9486414823757858,0.4429154781501275
400,NE,Novel,W3,Novel_interaction,0.8944442274232709,0.5922078997295508
459,NE,Novel,W3,Novel_interaction,2.5169438696892383,2.5974750709396774
459,NE,Novel,W3,Social_interaction,1.4194468780840501,1.2954925915103253
376,NE,Social,W3,Novel_interaction,-0.19840597856355305,0.09437764202968185
376,NE,Social,W3,Social_interaction,0.43599289848216755,1.3970482807042182
376,NE,Novel,W3,Novel_interaction,0.3993300158097139,0.5793787284582531
376,NE,Novel,W3,Social_interaction,-0.14535126908880933,0.6278406358343026
372,NE,Social,W3,Novel_interaction,-0.6529943342661718,0.8423624668078693
372,NE,Social,W3,Social_interaction,1.2020110576811178,7.052719227633679
372,NE,Novel,W3,Novel_interaction,-0.47370134617067194,1.24691352170695
372,NE,Novel,W3,Social_interaction,2.153838871784903,4.2439744953201295
374,WT,Social,W3,Novel_interaction,1.57664153247505,0.4382905406909425
374,WT,Social,W3,Social_interaction,-0.2280008717253797,2.773798678345
374,WT,Novel,W3,Novel_interaction,-0.14836426165638766,1.1973327513663747
374,WT,Novel,W3,Social_interaction,1.4504886322835844,2.1568749028557317
429,WT,Social,W3,Novel_interaction,0.2790905107793854,0.3973634840187639
429,WT,Social,W3,Social_interaction,0.6412380921461979,0.7329654098195766
429,WT,Novel,W3,Novel_interaction,1.2454988107798721,2.6070167268622657
429,WT,Novel,W3,Social_interaction,0.7065733130167762,0.7422721196863068
423,NE,Social,W3,Novel_interaction,-0.814481482326576,-0.2788387697016416
423,NE,Social,W3,Social_interaction,1.5894429477473415,2.467794336015028
423,NE,Novel,W3,Novel_interaction,-0.03815736317228619,0.37165443428253225
423,NE,Novel,W3,Social_interaction,4.912829407044366,3.6421955280433616
