"trial_type","timepoint","n_mice","mean_peaks","sd_peaks","sem_peaks","median_peaks","variance_peaks","mean_duration_s","variance_mean_ratio"
"Hab","Preinduction",6,36.1666666666667,5.38206899497458,2.19722046635693,38,28.9666666666667,299.840282666667,0.800921658986175
"Hab","W1",6,33,6.48074069840786,2.64575131106459,33,42,299.846741333334,1.27272727272727
"Hab","W2",6,41.3333333333333,8.5945719303911,3.50871929785087,40,73.8666666666667,299.846746666667,1.78709677419355
"Social","Preinduction",6,35.5,7.81664889834512,3.19113354990563,37.5,61.1,299.840186666667,1.72112676056338
"Social","W1",6,33.8333333333333,4.9564772436345,2.02347336143683,32.5,24.5666666666667,299.853413333333,0.726108374384236
"Social","W2",6,40.8333333333333,11.0347934582695,4.50493556496033,39.5,121.766666666667,299.846768,2.98204081632653
"Novel","Preinduction",6,34.1666666666667,6.64580067912563,2.71313676601662,37,44.1666666666667,299.846986666666,1.29268292682927
"Novel","W1",5,31.8,5.58569601750758,2.49799919935936,33,31.2,299.8561728,0.981132075471698
"Novel","W2",6,41.6666666666667,5.8878405775519,2.40370085030933,41,34.6666666666667,299.866832,0.832
