mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts,trial_SD,threshold_z
580,NE,W1__ID580_NE__3CT_FP9_3__3CT_W1_C3-Trial____12,Hab,W1,Entire_trial,299.8400959999999,34,0.11339377372664665,6.803626423598799,3.033605900022248,2.5549387701665296,4,0.933652835829447,1.867305671658894
580,NE,W2__ID580_NE__3CT_FP9_3__3CT_W2_C3-Trial____11,Hab,W2,Entire_trial,299.88035200000013,38,0.12671720486709306,7.603032292025584,2.5708731165350214,2.368752757964882,8,0.8567714969595295,1.713542993919059
588,NE,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,Hab,Preinduction,Entire_trial,299.8396480000001,39,0.13006952302718813,7.804171381631288,2.8567042574727743,2.5669863053106896,5,0.9293160071879207,1.8586320143758415
588,NE,W1__ID588_NE__3CT_FP0_3__3CT_W1_C3-Trial_____1,Hab,W1,Entire_trial,299.83990399999993,32,0.10672362008226899,6.403417204936139,2.9957220046997346,2.735361292647915,6,0.9359780528074622,1.8719561056149243
588,NE,W2__ID588_NE__3CT_FP0_3__3CT_W2_C3-Trial_____1,Hab,W2,Entire_trial,299.8398079999997,43,0.14340991040122344,8.604594624073407,2.9264500439870376,2.8159330537722687,4,1.0028279244256284,2.005655848851257
590,NE,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,Hab,Preinduction,Entire_trial,299.8399359999994,39,0.13006939809378854,7.804163885627312,2.648649213195543,2.492098271476943,7,1.0057814513869774,2.0115629027739548
590,NE,W1__ID590_NE__3CT_FP3_3__3CT_W1_C3-Trial_____5,Hab,W1,Entire_trial,299.87961599999926,31,0.10337481557932926,6.202488934759756,2.480732855332794,2.3722586088413937,6,0.9048364882287209,1.8096729764574417
590,NE,W2__ID590_NE__3CT_FP3_3__3CT_W2_C3-Trial_____5,Hab,W2,Entire_trial,299.8399040000004,35,0.11672895946498153,7.003737567898892,2.417003534749727,2.2602097925711515,5,0.9287160437785298,1.8574320875570596
533,NE,Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,Novel,Preinduction,Entire_trial,299.8408640000016,21,0.07003715144043837,4.2022290864263026,3.325114596383774,2.848670949571866,3,1.0183285883065416,2.036657176613083
533,NE,W1__ID533_NE__3CT_FP24_3__3CT_W1_C3-Trial____28,Novel,W1,Entire_trial,299.88041599999997,27,0.09003588950603564,5.4021533703621385,3.3550403571555427,3.1080082398524858,4,0.9758035640280444,1.9516071280560887
533,NE,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,Novel,W2,Entire_trial,299.88038400000005,37,0.12338252841506296,7.402951704903778,3.0179445605402027,2.817111984845833,5,0.9449686998879144,1.8899373997758289
541,NE,Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,Novel,Preinduction,Entire_trial,299.8407999999981,38,0.12673392013361837,7.604035208017102,2.8320406947094625,2.5658772765019875,5,0.9217296324954481,1.8434592649908963
541,NE,W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,Novel,W1,Entire_trial,299.840064,37,0.12339911987211956,7.403947192327173,2.7620902212391845,2.5855544792570875,5,0.969382981985481,1.938765963970962
541,NE,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,Novel,W2,Entire_trial,299.8800319999973,41,0.13672134061930596,8.203280437158359,2.639847786059921,2.639118810833914,11,0.9180689000883018,1.8361378001766036
