"trial_type","contrast","ratio","SE","df","null","z.ratio","p.value"
"Hab","W1 / Preinduction",0.912423336170802,0.0895918960354087,Inf,1,-0.933395859553203,0.546661821512335
"Hab","W2 / Preinduction",1.14283273232017,0.106136360357164,Inf,1,1.43758119737544,0.26292523102257
"Social","W1 / Preinduction",0.953008106897839,0.0933792384943435,Inf,1,-0.491223335764139,0.826941740543302
"Social","W2 / Preinduction",1.15020573099986,0.10764164197341,Inf,1,1.49533891852356,0.237673761626248
"Novel","W1 / Preinduction",0.92897165620647,0.098636714866618,Inf,1,-0.693898735858296,0.702830336587075
"Novel","W2 / Preinduction",1.21943121647163,0.11487403145728,Inf,1,2.10592673198067,0.0664166654178522
