"trial_type","contrast","ratio","SE","df","null","z.ratio","p.value"
"Hab","Preinduction / W1",1.03401558013855,0.0771307769410985,Inf,1,0.448428772783551,0.653843780278943
"Hab","Preinduction / W2",0.924067860348477,0.0670405965137907,Inf,1,-1.08849605219203,0.552752356876827
"Hab","W1 / W2",0.893669184582946,0.0654054332709548,Inf,1,-1.5360488858391,0.373579173271997
"Social","Preinduction / W1",0.965260781069946,0.0741120437042551,Inf,1,-0.460501415288152,0.64515635586156
"Social","Preinduction / W2",0.845198509341802,0.0628805951565862,Inf,1,-2.26061251945346,0.0713497854456106
"Social","W1 / W2",0.87561675136634,0.0645267155569807,Inf,1,-1.80243724688003,0.14295327895619
"Novel","Preinduction / W1",0.955578136733212,0.0766494589450552,Inf,1,-0.566478483538849,0.571068555595045
"Novel","Preinduction / W2",0.860107394752155,0.0637969503963613,Inf,1,-2.03170340425113,0.126551073264955
"Novel","W1 / W2",0.900091119385131,0.0698376027325095,Inf,1,-1.35661787880549,0.34980531582657
