"trial_type","timepoint","n_mice","mean_peaks","sd_peaks","sem_peaks","median_peaks","variance_peaks","mean_duration_s","variance_mean_ratio"
"Hab","Preinduction",6,60.8333333333333,7.1670542530852,2.92593764648379,61,51.3666666666667,299.840282666667,0.844383561643835
"Hab","W1",6,58.8333333333333,10.5340717040785,4.30051676481379,55,110.966666666667,299.846741333334,1.88611898016997
"Hab","W2",6,65.8333333333333,15.6258333111123,6.37921973633488,65,244.166666666667,299.846746666667,3.70886075949367
"Social","Preinduction",6,55.5,8.68907359849138,3.54729944229879,54.5,75.5,299.840186666667,1.36036036036036
"Social","W1",6,57.5,6.05805249234438,2.47318957353994,57.5,36.7,299.853413333333,0.638260869565217
"Social","W2",6,65.6666666666667,12.956336930887,5.28940240270844,62,167.866666666667,299.846768,2.55634517766497
"Novel","Preinduction",6,56.3333333333333,5.53774924194538,2.26077666104176,57.5,30.6666666666667,299.846986666666,0.544378698224852
"Novel","W1",5,59.2,8.8994381845148,3.97994974842648,58,79.2,299.8561728,1.33783783783784
"Novel","W2",6,65.5,7.44983221287567,3.04138126514911,67,55.5,299.866832,0.847328244274809
