"trial_type","timepoint","n_mice","mean_peaks","sd_peaks","sem_peaks","median_peaks","mean_duration_s"
"Hab","Preinduction",6,88.1666666666667,9.94819916701845,4.06133530312931,90,299.840282666667
"Hab","W1",6,87.1666666666667,16.8453752308064,6.87709564019903,79.5,299.846741333334
"Hab","W2",6,105,23.3666428910958,9.53939201416946,104,299.846746666667
"Social","Preinduction",6,79.5,8.96102672688794,3.65832384205299,80.5,299.840186666667
"Social","W1",6,85.5,8.61974477580398,3.51899606895679,84,299.853413333333
"Social","W2",6,98,19.2873015219859,7.87400787401181,94.5,299.846768
"Novel","Preinduction",6,87.8333333333333,7.85917722580848,3.20849566688884,89,299.846986666666
"Novel","W1",5,89,13.9821314541096,6.25299928034539,89,299.8561728
"Novel","W2",6,99.8333333333333,9.45339445208263,3.8593321241433,100.5,299.866832
