mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,mean_absolute_deviation,threshold_z,n_social_bouts
533,NE,Preinduction__ID533_NE__3CT_FP20_3__3CT_Preinduction_C3-Trial____22,Hab,Preinduction,Social_interaction,5.259999999999991,4,0.7604562737642598,45.62737642585559,1.7037694224548536,1.4972911442261754,0.7380191200154634,1.1070286800231952,2
533,NE,W1__ID533_NE__3CT_FP22_3__3CT_W1_C3-Trial____26,Hab,W1,Social_interaction,3.860000000000003,3,0.7772020725388595,46.63212435233157,3.4952064476083584,4.292014734922684,0.754273160875511,1.1314097413132664,3
533,NE,W2__ID533_NE__3CT_FP18_3__3CT_W2_C3-Trial____20,Hab,W2,Social_interaction,15.100000000000023,10,0.6622516556291381,39.73509933774829,2.3378293009585436,2.0507572526854254,0.7596008435357958,1.1394012653036938,5
541,NE,Preinduction__ID541_NE__3CT_FP23_3__3CT_Preinduction_C3-Trial____25,Hab,Preinduction,Social_interaction,7.980000000000004,4,0.50125313283208,30.075187969924798,2.1722140338296496,2.093932300807189,0.7625265155911125,1.1437897733866689,3
541,NE,W1__ID541_NE__3CT_FP25_3__3CT_W1_C3-Trial____30,Hab,W1,Social_interaction,32.120000000000005,11,0.34246575342465746,20.547945205479447,1.8860999759031203,1.7578200334302003,0.7628477178027792,1.1442715767041687,8
541,NE,W2__ID541_NE__3CT_FP21_3__3CT_W2_C3-Trial____23,Hab,W2,Social_interaction,12.060000000000029,9,0.7462686567164161,44.77611940298496,2.0293705984096326,1.83406498520145,0.7834695083248147,1.175204262487222,6
566,NE,Preinduction__ID566_NE__3CT_FP7_3__3CT_Preinduction_C3-Trial_____9,Hab,Preinduction,Social_interaction,37.34,17,0.4552758435993572,27.316550615961432,2.6626379921889605,2.500566638438291,0.7519012498137227,1.1278518747205841,9
566,NE,W1__ID566_NE__3CT_FP6_3__3CT_W1_C3-Trial_____9,Hab,W1,Social_interaction,39.14000000000003,26,0.6642820643842612,39.85692386305567,2.3540849505579384,2.163220541413243,0.7908423182817441,1.1862634774226162,11
566,NE,W2__ID566_NE__3CT_FP6_3__3CT_W2_C3-Trial_____8,Hab,W2,Social_interaction,13.67999999999996,7,0.51169590643275,30.701754385965,2.026422733526215,1.9348526294247639,0.7767016771253614,1.1650525156880422,6
580,NE,Preinduction__ID580_NE__3CT_FP10_3__3CT_Preinduction_C3-Trial____12,Hab,Preinduction,Social_interaction,13.38000000000001,5,0.3736920777279519,22.42152466367711,2.601897624355029,2.647272749769132,0.7598999700361915,1.139849955054287,3
580,NE,W1__ID580_NE__3CT_FP9_3__3CT_W1_C3-Trial____12,Hab,W1,Social_interaction,15.780000000000005,9,0.5703422053231938,34.22053231939163,2.722034297331059,2.5137422905286035,0.7438206283911922,1.1157309425867883,4
580,NE,W2__ID580_NE__3CT_FP9_3__3CT_W2_C3-Trial____11,Hab,W2,Social_interaction,22.73999999999992,10,0.43975373790677375,26.385224274406426,2.8359765124468814,2.6651798952539716,0.779182659333546,1.168773989000319,8
588,NE,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,Hab,Preinduction,Social_interaction,22.04700000000001,12,0.5442917403728396,32.65750442237037,3.050170069863676,3.1220386344712674,0.735319323234646,1.102978984851969,5
588,NE,W1__ID588_NE__3CT_FP0_3__3CT_W1_C3-Trial_____1,Hab,W1,Social_interaction,59.52000000000001,20,0.336021505376344,20.16129032258064,2.1449879573820234,1.8159130811905488,0.732948620119053,1.0994229301785796,6
588,NE,W2__ID588_NE__3CT_FP0_3__3CT_W2_C3-Trial_____1,Hab,W2,Social_interaction,36.6,14,0.3825136612021858,22.950819672131146,2.1598260835870033,1.6443968627842174,0.7829645542638494,1.174446831395774,4
590,NE,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,Hab,Preinduction,Social_interaction,28.259999999999955,11,0.3892427459306446,23.354564755838677,1.9324029260824653,1.8110383561179284,0.7870554648146632,1.1805831972219947,7
