method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
mean_MAD,Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,533,NE,Novel,Preinduction,Interaction,13.83999999999999,3,0.216763005780347,13.005780346820819,3.012524709655832,2.838541734071655,-7.582155376925172e-18,0.6797566454197647,1.3595132908395293,299.8408640000016,13.83999999999999,286.0008640000016,3
mean_MAD,W1__ID533_NE__3CT_FP24_3__3CT_W1_C3-Trial____28,533,NE,Novel,W1,Interaction,35.72000000000003,20,0.5599104143337061,33.59462486002237,3.1217576692430846,2.781058684446175,-7.581144153215259e-18,0.7463779975205963,1.4927559950411926,299.88041599999997,35.72000000000003,264.16041599999994,5
mean_MAD,W2__ID533_NE__3CT_FP20_3__3CT_W2_C3-Trial____22,533,NE,Novel,W2,Interaction,47.28000000000003,19,0.40186125211505896,24.11167512690354,3.087050928012292,2.751476796939072,3.0324576612861035e-17,0.7358214574690846,1.4716429149381691,299.88038400000005,47.28000000000003,252.60038400000002,7
mean_MAD,Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,541,NE,Novel,Preinduction,Interaction,1.9199999999999875,1,0.5208333333333367,31.250000000000203,2.5629315724295756,2.5629315724295756,-6.065724301540137e-17,0.7436683971009644,1.4873367942019289,299.8407999999981,1.9199999999999875,297.92079999999817,1
mean_MAD,W1__ID541_NE__3CT_FP28_3__3CT_W1_C3-Trial____33,541,NE,Novel,W1,Interaction,22.880000000000024,9,0.39335664335664294,23.601398601398575,2.2699758330504416,2.2260742838250227,-3.0328621507700686e-17,0.7547865544405146,1.5095731088810291,299.840064,22.880000000000024,276.960064,5
mean_MAD,W2__ID541_NE__3CT_FP23_3__3CT_W2_C3-Trial____25,541,NE,Novel,W2,Interaction,10.400000000000006,6,0.5769230769230766,34.6153846153846,2.2190952355997413,2.214451841181421,7.581144153215259e-18,0.7762005622187369,1.5524011244374738,299.8800319999973,10.400000000000006,289.4800319999973,6
mean_MAD,Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Interaction,32.38,9,0.2779493514515133,16.676961087090795,3.3529961969813606,3.0356193330605183,4.1701854573088443e-17,0.7587468940046301,1.5174937880092603,299.84031999999934,32.38,267.46031999999934,7
mean_MAD,W1__ID566_NE__3CT_FP8_3__3CT_W1_C3-Trial____11,566,NE,Novel,W1,Interaction,29.159999999999997,12,0.41152263374485604,24.69135802469136,2.36113068799765,2.2914037316159828,2.2746466130775518e-17,0.7912685914290236,1.5825371828580472,299.84019199999966,29.159999999999997,270.6801919999997,7
mean_MAD,W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Interaction,87.8199999999999,24,0.2732862673650652,16.397176041903915,2.7170009447544605,2.549047358203179,-5.3075087638476207e-17,0.77981822489645,1.5596364497929,299.84019199999966,87.8199999999999,212.02019199999978,14
mean_MAD,Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Interaction,17.679999999999993,7,0.3959276018099549,23.755656108597293,2.7111635006813235,2.4943352350650425,-1.5164310753850343e-17,0.738756574840038,1.477513149680076,299.8399360000003,17.679999999999993,282.1599360000003,4
