trial_type,analysis_window,timepoint,n_mice,mean_duration_s,mean_n_peaks,sd_n_peaks,mean_peaks_per_min,sd_peaks_per_min,sem_peaks_per_min
Novel,Interaction,Preinduction,6,23.78433333333332,4.666666666666667,3.444802848737017,15.876497392904419,10.367182802218386,4.232384655932017
Novel,Interaction,W1,5,26.208000000000016,13.4,4.277849927241488,30.843720786803175,7.625131055785671,3.4100622756163
Novel,Interaction,W2,6,46.809999999999974,16.666666666666668,8.140434058861153,25.150578559286245,6.93836059390621,2.8325738510840437
Novel,Outside interaction,Preinduction,6,276.062653333333,51.666666666666664,6.97614984548545,11.248898562585543,1.398560943601341,0.5709601143347747
Novel,Outside interaction,W1,5,273.6481728,45.8,11.519548602267365,10.030177103616925,2.5081101133831165,1.1216609417158707
Novel,Outside interaction,W2,6,253.05683199999976,48.833333333333336,11.940128419186564,11.529843714065498,2.2206393239975295,0.90657220775882
Social,Interaction,Preinduction,6,51.1648333333333,20.0,12.696456198483101,26.51084601106425,9.870287898526087,4.029528160959431
Social,Interaction,W1,6,66.25666666666667,24.333333333333332,7.916228058025278,25.156125790455317,7.130533699880663,2.911028193071245
Social,Interaction,W2,6,59.84666666666667,22.166666666666668,5.036533199202271,23.121340790876086,4.564290108112531,1.8633636338180615
Social,Outside interaction,Preinduction,6,248.67535333333365,35.5,9.181503144910424,8.573474264101195,2.0000803864530763,0.8165293985597709
Social,Outside interaction,W1,6,233.5967466666667,33.166666666666664,12.797135096054378,8.339641429130497,2.3708827061725137,0.9679088116852661
Social,Outside interaction,W2,6,240.00010133333305,43.5,16.306440445419103,10.753971454555135,3.410877805870051,1.3924850332275804
