method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,26,166.0399040000002,2.080085687347284,Interaction,1.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,27,171.4799039999998,1.5561853155185632,Interaction,1.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,28,172.63987199999974,1.8305140744703432,Interaction,1.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,29,174.19987200000014,4.923761517473646,Interaction,1.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,30,177.7998720000005,3.5593400874643932,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,31,178.6798719999997,2.161747305032855,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,32,179.2398720000001,1.6881278320516042,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,33,180.9198720000004,2.217347345621371,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,34,181.63987199999974,2.6132560899608355,Interaction,2.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,35,182.2398720000001,4.110841767595202,Interaction,2.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,36,183.27987200000007,3.0820297349777994,Interaction,2.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,37,189.95984000000044,2.6944408412270104,Interaction,3.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,38,193.83984000000055,7.291405952801156,Interaction,3.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,39,194.83984000000055,1.7182027711348058,Interaction,3.0,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,40,205.55980799999998,2.65041279545818,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,41,208.03980800000045,1.766944030636203,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,42,236.87974399999985,3.127339216945765,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,43,249.75974399999996,3.193261483663656,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
