mouse_id,genotype,condition,week,mean_dFF,n_events
376,NE,,Preinduction,-0.29219878699386653,7
372,NE,,Preinduction,0.02476238197173536,12
423,NE,,Preinduction,0.423269667811018,4
459,NE,,Preinduction,0.700794043827368,6
398,NE,,Preinduction,0.7085891222826667,6
400,NE,,Preinduction,-0.986460984577503,1
376,NE,,W1,0.9492643976541589,9
372,NE,,W1,0.805152468746886,5
423,NE,,W1,-0.3318409116311643,5
459,NE,,W1,0.36066714295102226,6
398,NE,,W1,-1.0238575970561674,3
459,NE,,W2,-0.393878880945265,10
398,NE,,W2,0.22338106993731874,12
400,NE,,W2,-0.6548123827804767,6
376,NE,,W2,0.051103954348330725,18
372,NE,,W2,-0.4658856908477794,5
423,NE,,W2,-0.6064552667670063,7
