mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,2.6385213141570043,11
450,NE,,Preinduction,3.378706962357886,10
597,NE,,Preinduction,0.801692444717869,10
376,NE,,Preinduction,1.7011886109783791,6
372,NE,,Preinduction,2.614775802708947,12
423,NE,,Preinduction,1.6130282866424526,3
459,NE,,Preinduction,4.649841399794359,6
398,NE,,Preinduction,2.386348259240473,6
400,NE,,Preinduction,9.629705423721257,1
376,NE,,W1,0.7262477819912926,9
372,NE,,W1,4.808221184233417,5
423,NE,,W1,2.779837765206433,5
450,NE,,W1,5.829905785006654,8
597,NE,,W1,2.188958947129255,3
459,NE,,W1,3.946655546115476,5
398,NE,,W1,4.173657127117472,3
459,NE,,W2,1.1329448365337769,10
398,NE,,W2,2.3372265323545673,11
400,NE,,W2,5.127869409726,6
376,NE,,W2,0.18583927559985067,17
372,NE,,W2,-0.1926764639443485,5
423,NE,,W2,-0.11717205424669307,7
584,NE,,W2,3.7959995824616115,3
597,NE,,W2,1.6588496208827974,7
450,NE,,W2,1.736769786031278,14
