mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,2.3940269602854722,11
450,NE,,Preinduction,1.074716171599356,10
597,NE,,Preinduction,0.2525337005050522,10
376,NE,,Preinduction,0.15462807415842222,6
372,NE,,Preinduction,0.8276408221153035,12
423,NE,,Preinduction,-0.9937436102361882,3
459,NE,,Preinduction,0.7855677285959228,5
398,NE,,Preinduction,0.40245239996677107,6
400,NE,,Preinduction,-0.6876900792825524,1
376,NE,,W1,0.4190232499746662,9
372,NE,,W1,0.003433021340517417,5
423,NE,,W1,1.2423606418343467,5
450,NE,,W1,1.3281770915577975,8
597,NE,,W1,0.6396332774040795,3
459,NE,,W1,0.29665859029454184,5
398,NE,,W1,0.6736250095592714,3
459,NE,,W2,0.1813820539361585,10
398,NE,,W2,0.6294436307495527,11
400,NE,,W2,1.1644966518038227,6
376,NE,,W2,0.2575875203190832,18
372,NE,,W2,0.4554447255116833,6
423,NE,,W2,0.15599973441202516,7
584,NE,,W2,1.4609520052156473,3
597,NE,,W2,0.3314819953847958,7
450,NE,,W2,1.807301960411577,14
