mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,0.08335578507041408,11
450,NE,,Preinduction,4.100473318033201,10
597,NE,,Preinduction,0.10912755670029117,10
376,NE,,Preinduction,1.3915698311883566,7
372,NE,,Preinduction,2.570654478916422,12
423,NE,,Preinduction,0.8790274006567238,4
459,NE,,Preinduction,3.27755607141522,7
398,NE,,Preinduction,2.2644406349888113,7
400,NE,,Preinduction,9.49387320845238,1
376,NE,,W1,1.4915121284445882,9
372,NE,,W1,5.088470358577465,5
423,NE,,W1,1.5742903494107146,5
450,NE,,W1,6.520026560726912,8
597,NE,,W1,3.5032931073880857,3
459,NE,,W1,3.8023693353455,6
398,NE,,W1,3.3218369313694645,3
459,NE,,W2,1.0631016527049986,10
398,NE,,W2,2.2259407568958767,12
400,NE,,W2,4.383425323568669,6
376,NE,,W2,-0.12341182496652277,17
372,NE,,W2,-0.07086220846147526,5
423,NE,,W2,-0.789077116913001,7
584,NE,,W2,0.5727639573894553,3
597,NE,,W2,1.3226746709011057,7
450,NE,,W2,1.3715558787146926,15
